"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
65434,"Cemetery: 1
Tomb: 1
Large [...] with later intrusions.","reverseCard","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22799517920","AB.TC.A.001","superuser","abydosTombA"
65435,"XXV-XXX
Cemetery: A
Tomb: 2
Date: Nov. 6.
1. Large globular bead, blue glaze.
2. Fragt. of green glaze fig. of Bes.","reverseCard","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22799516570","AB.TC.A.002a","superuser","abydosTombA"
65436,"Vaulted tomb built against the South side of A1. only the lower part of the south wall remains. The vaulting has entirely collapsed. The tomb was empty except for a bead and a fig. of Bes (fragt.) found on the gebel beneath the débris. The wall does not touch gebel but has a few inches of loose sand beneath it.
Plan: cf Plan of A1.
Edward R. Ayrton.","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22366371073","AB.TC.A.002b","superuser","abydosTombA"
65437,"Cemetery: A.
Tomb: 4.
Date: Nov. 8.
1. 36 vases [drawing] Rough red pottery. Drawings: 1, 2, 3, 4.
2. 32 cups [drawing] Rough red pottery. Drawings: 6, 7.
3. 2 fragts. [drawing] dishes. Rough red pottery.","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22366370343","AB.TC.A.004a","superuser","abydosTombA"
65438,"Below a totally destroyed vaulted tomb with some 15"" of sand between, the walls of a pit [diameter?].
[drawing]
On cleaning this a hard floor was reached at 20"" from the top of walls and under this in NE corner was the skeleton of a very young child. At the other end the wall had disappeared and there was a large deposit of pots [diameter?] some 16"" deep on these was a shallow wall 8"" thick of bow-shape. Agst. the N wall were the remains of a skeleton (female) buried level with the top of the wall.
Only types of the pots were preserved & the rest reburied in the pit. (The vertebral bones of the child had not ossified the body & spinous process being sep.)
Edward R. Ayrton.","reverseCard","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22364794224","AB.TC.A.004b","superuser","abydosTombA"
65439,"Cemetery: A.
Tomb: 5.
Date: Nov. 9. 08.","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961515986","AB.TC.A.005a","superuser","abydosTombA"
65440,"A pit tomb, by the side of an already plundered tomb, with 6 ft. of untouched sand over the mouth.
[Plan]
The coffin was in a hopelessly decayed condition. It had apparently been lined with white stucco & with a greyish stucco on the outwards. No traces of inscription. Inside was a skeleton lying at full length on its left side. Right hand covering pelvis.
Total length of skeleton 5' 3"". Female.
Not an object found besides the skeleton.
Photos: View of site; View of Coffin; View of skeleton.
Edward R. Ayrton.","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22974112402","AB.TC.A.005b","superuser","abydosTombA"
65441,"XXV-XXX
Cemetery: A.
Tomb: 6
Date: Nov. 9.
1. Very rough pot found on top. [drawing]. Drawing: 1.
2. Several small green glazed beads [drawing]","reverseCard","","","","Aleyn Suleiman.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961513686","AB.TC.A.006a","superuser","abydosTombA"
65442,"A deep shaft 17ft. 4in. deep in the gebel the top few feet lined with stucco and partly bricked. Only a few beads of the Persian period were found in the shaft and near the bottom of the shaft the skull of an ox in fragments. One small chamber opened off to East. In it was a long coffin originally stuccoed but absolutely destroyed by white ants. The skeleton within (male) lay on its back with head crushed on breast. Not an object was found in the chamber.
The skull was somewhat prognathous and the skeleton that of an extremely powerful man
[plan]
A small vauleted chapel near may have belonged to this pit, but has been absolutely plundered.
Edward R. Ayrton.","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22974109892","AB.TC.A.006b","superuser","abydosTombA"
65443,"Cemetery: West of Shuneh end
Tomb: A.1.
Date: Dec 8th
Untouched.
1. Six vases rough red ware [drawing] 15mm. Drawn
2. One vase poor black ware [drawing] 85mm.
3. Two bronze ear-rings at throat [drawing]
4. At left ear small bronze ring
5. Four pierced shells at throat
6. Single string of bluish glass beads around the neck
Photo 1 cf grave.","","","","","Sawaq 'Awad",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961510526","AB.TC.A.A001a","superuser","abydosTombA"
