"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
65466,"Cemetery: Near house
Tomb: B.1
XIInd or later.
Plundered.
XII?
Rectangular shaft. Plundered.
Chamber, square with rounded corners full of sand.
Large number of small mud Ushabtis
Remains of fine painted stucco sarcophagus, on each side of the deceased before 4 gods. Also a boat, probably from the ends. Sarcoph. of Bek en Tahuti
Drawing, Photos 5 & 6
Ivory fragment of wand (?) from the filling of the shaft.
B.2. had a N. chamber plundered from B.1. The shaft descended further but not finished.","reverseCard","","Dec. 9th","","Muh. Awad.",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961576106","AB.TC.B.01a","superuser","abydosTombB"
65467,"Sarcophagus.
[drawings]
These 2 join
See drawing","","","","","",580,"Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22974170952","AB.TC.B.01b","superuser","abydosTombB"
65468,"Cemetery: B, near house
Tomb: B.2.
Rectangular shaft. Chamber broken up from the side of B.1. & quite empty
[plan]","","","Dec.","","Muhammed 'Awad",580,"Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22998707561","AB.TC.B.02","superuser","abydosTombB"
65469,"Cemetery: B, near house
Tomb: B.3.
Plundered
Rectangular shaft with a chamber to the north near the top.
Two vases, a third broken & a piece of bl. glaze inlay from the chamber.
[drawings]","","","Dec. 15th","","Muhammed 'Awad",580,"Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22987617115","AB.TC.B.03","superuser","abydosTombB"
65470,"Cemetery: B, near house
Tomb: B.4.
Rectangular shaft, two chambers not v. deep, both empty & half filled with sand.","","","Dec. 26th","","Ahmed 'Ali Yunis",580,"Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22366424913","AB.TC.B.04","superuser","abydosTombB"
65471,"Cemetery: B
Tomb: B.5.
Rectangular shaft, two chambers
Two stele fragts. above.
Another stele fragment.
N. chamber
2 glass beads
bl. gl. amulet.","","","Dec. 27th","","Ahmed 'Ali Yunis",580,"Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569287358","AB.TC.B.05","superuser","abydosTombB"
65472,"Cemetery: B
Tomb: B.6.
Turba, badly disturbed, bones all removed.
Pear shaped glass beads
Bl. gl. beads
Shell beads
Carnel. beads (2)
Silver (?) ear-ring.","","","Jan 1st","","Ahmed 'Ali Yunis",580,"Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22974167562","AB.TC.B.06","superuser","abydosTombB"
65473,"Cemetery: Near the house
Tomb: B.10.
Plundered.
Apparently a single barrel-vaulted chamber, gebel floor. [See over] The burials badly disturbed, 5 skulls found, one mummified.
Small fragt. of papyrus, small plain wooden hawk with flat base, fragt. of larger one of painted stucco. 
One large biconical carnelian bead & numerous smaller beads
Two small pendants of dark green stone viz. [drawing] broken, & [drawing] scaraboid
A few fragments of sarcophagus, broken Ushabtis etc & a piece of worked limestone from the rubbish above & near the vault.
Drawing of hieroglyphs fragments.","reverseCard","","Dec. 9th","","Seyid abu Sel",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22799565780","AB.TC.B.10a","superuser","abydosTombB"
65474,"Sarcoph. frags.
[drawings]
View of S end of vaulted chamber from inside, K is door. Inside measurements.
[drawing]","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569240787","AB.TC.B.10b","superuser","abydosTombB"
65475,"Cemetery: Near house
Tomb: B.11.
Plundered
Rectangular shaft. N.W - S.E
In shaft 2 vases [drawing], broken & Ushabti fragments; a few bits of a thin leather object.
In shaft were found later the horn (broken) & part of skull of a large animal, mummified animal limbs & human skulls.
There was a North chamber broken into from B.10. The shaft then descended further but there was no second chamber.
Head of animal (? dog) in shaft. 
A paw prob. of this animal was found over B.10., & indeed the fillings of these two are very mixed.","reverseCard","","Dec. 10th '09","","Mohammed 'Awad",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22364844894","AB.TC.B.11","superuser","abydosTombB"
65476,"Cemetery: Near house
Tomb: B.12.
Rectangular shaft.
In top of shaft many vases & fragts.
(a) 9 vases [drawing]
(b) one vase [drawing] & a second smaller
(c) 13 small lumps of mud
(d) 7 Large reddish vases [drawing]
Lower room, at the entrance to & in South chamber was found the material given over page. The box was just inside chamber. Chamber 250 x 120 x 134 (cm) deep
Three pots from the top of shaft.
[drawings] black bands on pink; [drawing] broken & 1 small Ushabti
[plan]","reverseCard","","Dec. 13th","","Sêyid aln Lêl",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22998700511","AB.TC.B.12a","superuser","abydosTombB"
