"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
65395,"North Cemetery
[...] C. 1911-12
Abydos Dec. 1911.","reverseCard","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22799622160","AB.TC.C","superuser","abydosTombC"
65396,"Tomb C.2
Date: Dec. 21
Turba 180 x 60
Body disturbed, remains of wood coffin.","","","","","M. 'Awad.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22987668305","AB.TC.C.02","superuser","abydosTombC"
65397,"","","","","","M. ""Awad",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961625036","AB.TC.C.03","superuser","abydosTombC"
65398,"Tomb C.5
Date: Dec. 21
Turba 220 x 70
Body in wood coffin, extended on back, head N-W.
[drawing]","","","","","'Aise",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569296347","AB.TC.C.05","superuser","abydosTombC"
65399,"Tomb: C6
Date: Dec. 21-22
Shaft with superstructure as shown in plan.
Two ch. to N & two to S.
Upper N.: Wooden kohl stick; Ivory kohl stick (?)
Upper S.: Broken Canopic jar lid head, limestone
Lower N.: Plaster eye from small mask.
Lower S.: Three vases drawn, one of them [...] top; Ushabti head; Sealing in mud of later Dyn scarab; Head rest of wood
Plan","","","","","Sirham",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22364900334","AB.TC.C.06","superuser","abydosTombC"
65400,"Tomb C7
Date: Dec. 23
Shaft.
N. ch.
7 bl. gl. & 2 white discoid beads
S.","","","","","Kassâm",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22998757771","AB.TC.C.07","superuser","abydosTombC"
65401,"Tomb C9.
Date: Dec. 24
Shaft.
Ch. to S.
Part of wooden figure
Half an ivory bracelet
Piece of stucco sarcophagus
Small dish in upper radîm
One bl. gl. bead","","","","","A. 'Aise",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961622976","AB.TC.C.09","superuser","abydosTombC"
65402,"Tomb: C11
Date: Dec 24th
[drawing]
Burial of child in wood coffin. Covered with large stones, & big boulder on top. Stones packed in later. Side of coffin on E. side of turba.","","","","","Ahmed Aise",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22799618640","AB.TC.C.11","superuser","abydosTombC"
65403,"Tomb: C.12
Date: Dec. 24th
Shaft.
In shaft pieces of black incised pot. & of a plain one.
Pottery bowl.","","","","","M. 'Awad",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22595471199","AB.TC.C.12","superuser","abydosTombC"
65404,"Tomb: C.13
Date: Dec. 25
Turba on the west side of shaft 14, clearly later than it.
Body of old man on back, head to right, extended, legs slightly bent by fall of coffin lid. Each limb wrapped in several thick [...] of coarse linen.
On head a cartonnage head with v. small face, stucco v. thick
Under face an ochre bowl with red rim.
Head local N.","reverseCard","","","","M. 'Awad.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22595470709","AB.TC.C.13","superuser","abydosTombC"
65405,"Tomb: C.21
Date: Dec. 24th
Shaft.
N. ch.
Linen, with fringe
& inscribed band
Glass paste beads, [drawing] white, lemon yellow, brick red, green, blue, also [drawing] 
Late forms [drawings]
Pieces of Ushabtis of light blue glaze, prob. 22nd.","","","","","Kassim",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22366473823","AB.TC.C.21","superuser","abydosTombC"
65406,"Tomb: C51
Date: Dec 21-2
Dynasty xii-xvii
Rect. shaft NW& SE 305 x 120
[drawing]
South chamber. Roof fallen in,  & connected with 52 S2. Plundered, but not completely.
1 ivory wand uninscribed (broken) 1/2 another (hand [...]) hand of a third. Broken alabaster vase [drawing] (drawn). Fragts. of painted wood coffin. Small carnelian scarab. Fragts. of gold leaf. Flat round white beads. Flat round gold beads. 3 drop-shaped crystal? glazed beads.","reverseCard","","","","Sawâq",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22366464713","AB.TC.C.51","superuser","abydosTombC"
65407,"Tomb: C52
Date: Dec. 21-2
Dynasty: xii-xviii
Dimensions 285 x 100 x 4.30 (top of N.2) bottom of N1 at 315.
Rect. shaft. NW. & SE. Two chambers to N & two to S. 
[drawing]
Fragts. of painted wooden coffin, ivory wand from shaft.
In S.2. 3 pottery canopic jars without heads or inscriptions; 2 bronze earrings. Chamber much broken in & plundered.
N.2. Too broken for safe working. Two fragts. of decayed wooden coffin.
N.1. 1/2 bricked up. 3 bodies not in position.","reverseCard","","","","Sawaq",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569291937","AB.TC.C.52a","superuser","abydosTombC"
65408,"Fragts. of decayed wood coffin painted. Alabaster kohl pot. Copper tweezers. Series of pottery (drawn).
S.1
Roof broken in & plundered. 3 bodies.
Fragts. of alabaster vase, arm of ivory wand (broken). Fragts. of ivory [...] inlay, small black stone, kohl-pot in white stone base (lid missing). Amethyst scarab (broken). Small carnelian scarab (complete). Alabaster amulet [drawing] (complete). Fragts. of red woolly substance. Flat white, round metal, blue glaze bead.","reverseCard","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22987662705","AB.TC.C.52b","superuser","abydosTombC"
65409,"Tomb: C53
Date: Dec. 21-2
Rect. shaft. NW & S.E. Chamber
N & S. Both empty.","reverseCard","","","","Sawâq",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22364894834","AB.TC.C.53","superuser","abydosTombC"
65410,"Tomb: C54
Date: Dec 24th
Rect. shaft NW. & S.E. Thoroughly plundered.
N.2 Pieces of oval & oblong bl. gl. inlay. Fragts. of painted wood coffin. [drawing]. Worked flint flake. Small pot [drawing].
N.1. Completley empty.","","","","","Sawaq",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22364894484","AB.TC.C.54","superuser","abydosTombC"
65411,"","","","Tomb: C55","","Sawaq",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569332688","AB.TC.C.55","superuser","abydosTombC"
65412,"Tomb: C56
Date: Dec 24th
Rect. shaft. NW. 1 SE. out of shaft
unbaked mud dish in fragts. with thin painted white lines.
Out of S. Chamber incised black-topped ""Pan"" pot in fragts.
North chamber completely empty?","","","","","Sowag.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961616396","AB.TC.C.56","superuser","abydosTombC"
65413,"Tomb: C62
Date: Dec. 23
Broad shaft, with fine bricking. At the bottom bricked on 3 sides to hold back the gebel.
Chamber of large size but much broken, to S. for finds.
Small piece of gold foil in shaft.","","","","","Waris.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22364892444","AB.TC.C.62","superuser","abydosTombC"
65414,"Tomb: C63
Date: Dec. 21-2
Rect. shaft 270 x 100 x 350
52° W. of N.
two ch. at bottom, one to N, one to S.
South ch. 220 x 100 x 95. one ochre bowl, few white discoid beads.
North ch. 215 x 100 x 95. empty
In the shaft several vases.
Sectn.","","","","","Wâris",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22364892014","AB.TC.C.63","superuser","abydosTombC"
65415,"Tomb: C64.
Date: Dec. 23
Shaft. In the shaft near bottom many white discoid beads, dark blue barrel-shaped, & a few light blue glaze
N. Ch. a Pan-pot & a bowl of pottery & part of a 'flint-stand'
S. ch. Thoroughly plundered. Fragts. of painted wood coffin belonging to [hieroglyphs].","reverseCard","","","","Hilâl",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22366468093","AB.TC.C.64","superuser","abydosTombC"
65416,"Tomb: C65
Date: Dec. 23
Shaft.
Ch. to N & S.","reverseCard","","","","M. Khalîfa.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569285947","AB.TC.C.65","superuser","abydosTombC"
65417,"Tomb: C66
Date: Dec. 24-5
Shaft. ch. to S. only.
2 sarcophagi with blue hieroglyphs badly disturbed
vases drawn, white spated etc.
One of the sarcoph. has name of owner filled in in hieratic.","reverseCard","","","","Mbarak.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569285377","AB.TC.C.66","superuser","abydosTombC"
65418,"Tomb: C71
Date: Dec. 21st
A low circular structure as planned [drawing]
both of wall 16. ht. of wall above dalslsa 25
A dalslsa surrounded by low wall
Broken vase on dalslsa as shown.","","Not sure about the ""dalslsa"".","","","Hilâl",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22987656565","AB.TC.C.71","superuser","abydosTombC"
