"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
65496,"Cemetery D.
Abydos 1912.","reverseCard","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22974317982","AB.TC.D","superuser","abydosTombD"
65497,"Tomb: D.2.
Date: Jan. 5th
Dynasty XIIth
Turba, disturbed
Blue beads small rounded discoid.","","","","","Habbushe",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961723826","AB.TC.D.002","superuser","abydosTombD"
65498,"Tomb: D.3.
Date: Jan 5th
Dynasty: XII
Shaft/ Sh. 285 x 60 x 220
Ch. to N & S empty.
S. Ch. 205; ht. 125; bth 45
N. Ch. 200; ht. 70; bth 40","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22998857111","AB.TC.D.003","superuser","abydosTombD"
65499,"Tomb: D.4.
Date: Jan 5th
Dynasty: XII
Turba/
Wood coffin, unshaped, disturbed. N.W - S.E.
Beads large & small blue [drawings] spherical of XIIth type","","","","","Sawâq",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961723066","AB.TC.D.004","superuser","abydosTombD"
65500,"Tomb: D.5.
Date Jan 5th
Dynasty: XII
Shaft. 242 x 95 x 385
Ch. N. 260 x 60 x 240
Large light bl. gl. spherical beads.
2 rounded disc. carnel. [drawing]
3 white shell discoid
3 tubular light bl. gl.
Ch. S. 250 x 48 x 220","reverseCard","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22998855981","AB.TC.D.005","superuser","abydosTombD"
65501,"Tomb: D.7.
Dynasty: XII
Shaft. 230 x 100 x 335
N. ch. 210 x 50 x 90. Wood coffin. male on l. side extd. Carnel. rounded discoid bead.
S. ch. 210 x 50 x 100
N. ch upper 210 x 40 x 70.","reverseCard","","Jan 7","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569393347","AB.TC.D.007","superuser","abydosTombD"
65502,"Tomb: D.8.
Dynasty: XII
Shaft/ 320 x 100 x 220.
N. ch. bricked up, empty. 210 x 40 x 80
S. ch. 220 x 50 x 100. empty.","reverseCard","","Jan 7.","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569393047","AB.TC.D.008","superuser","abydosTombD"
65503,"Tomb: D.12.
Dynasty: XII
Shaft/
S. ch. masdûd, plundered fr. above
Wood coffin male on l. side, exd.
Shaft 225 x 55 x 160
Ch. 152 x 50 x 85
head N.W.","","","Jan 5th","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22998854831","AB.TC.D.012","superuser","abydosTombD"
65504,"Tomb: D.13.
Dynasty: ? late
Turba
Shaped wood coffin
body ext. sup. head N.W
plundered
Female","","","Jan 7","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22569435608","AB.TC.D.013","superuser","abydosTombD"
65505,"Tomb: D.14.
Dynasty: XII
Turba/
Head N. exd. on l. side
plain coffin
Small bl. gl. discoid beads.","","","Jan 7th","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22961720096","AB.TC.D.014","superuser","abydosTombD"
