"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
65686,"E.1. Vaulted chamber, broken in above, disturbed
Mummy, head to S., in limestone sarcoph cloth painted with 4 genii.
Gilded clith breasts, anklet left leg & 2 armlets round left arm.
E.2. Long shaft below E.1.
one chamber to S. Rifled, male.
E.3. Vaulted chamber, Roman
9 mummies out of position, cartonnage fragments. Vases.
[Plan]
See plan","reverseCard","","Jan 17th","E.1, 2, 3","'Abd el Mejid",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23182499303","AB.TC.E.0001,0002,0003","superuser","abydosTombE"
65687,"4. Prehistoric tomb, see over. Under floor of Roman vault.
Body plundered out, vases
left in position
5. Apparently cut into 4. No remains
[Drawings]","","","Jan. 21st","E.4, 5","Abd el Mejid",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23783367186","AB.TC.E.0004a,0005","superuser","abydosTombE"
65688,"[Plan]
Size 137 x 73 depth 48
Smaller grave 105 x 75 x 25.","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23700878842","AB.TC.E.0004b","superuser","abydosTombE"
65689,"Cemetery: South
6. Rect. shaft below vault E.2. Ch. to N. Empty exc. for a few bones.
8. Roman burial, woman supine, head to S, hands clasped.
9. Girl in wooden coffin as 8
10. Child in coffin, head S, cut off by shaft
2 bl. gl. [...] figures & mixed beads.","reverseCard","","Jan. 23rd","E.6, 8, 9, 10","'Abd el Mejid",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23701038062","AB.TC.E.0006,0008,0009,0010","superuser","abydosTombE"
65690,"Cemetery: Prehistoric
Prehistoric turba, badly disturbed.
[drawing] 3 / R.76. [drawing] 1 / R.84. [drawing] 2 / R.23.b
These all R. ware.
Long flint knife, broken
Fine clay vase & part of another [drawing] R.75.c
7 carnelian & one stone bead
Bronze pin [drawing]
Ivory spoon","","","Jan 23rd","E.7.","M. 'Awad",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23513772580","AB.TC.E.0007","superuser","abydosTombE"
65691,"Cemetery: Prehistoric
Prehistoric turba, see over, rectang. with rounded edges. N.W., SE
Head removed, crouched position head was south.
[drawing] Shape D.37. Decorated; [drawing] 3 / thick rough; [drawing] R. ware
also remains of at least 3 large pots [drawing] R.E. R.84","","","Jan 23rd","E.11.","M. Awad",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23182665843","AB.TC.E.0011a","superuser","abydosTombE"
65692,"[plan]","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23181339914","AB.TC.E.0011b","superuser","abydosTombE"
65693,"Cemetery: Prehistoric
Prehist. turba, plundered / OVER
[drawing] R.F. / R.84; [drawing] B / 53.a.; [drawing] P. ?; [drawing] R. / R.76.
Stone vase [drawing]
3 carnel. & 2 green gl. beads, all discoid.","","","Jan 23rd","E.12.","M. 'Awad",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23181339244","AB.TC.E.0012a","superuser","abydosTombE"
65694,"[plan]","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23701034222","AB.TC.E.0012b","superuser","abydosTombE"
65695,"Cemetery: South.
Late turba built into N wall of E.3. (see plan)
Small child, head at 25° E of S, in wooden coffin.
Three small Bl. gl. ornaments from neck [drawing]","","","Jan 27th","E.13.","Ahmed Aissa",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23441504889","AB.TC.E.0013","superuser","abydosTombE"
65696,"Cemetery: South.
Late turba. Woman on back. Head to N. Legs removed anciently below knees. Part of head rest from above head. See over. Shaped wooden coffin in fragments.","","","Jan 27th","E.14.","Ahmed Sirhan",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23701033252","AB.TC.E.0014a","superuser","abydosTombE"
