"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
66151,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23458297609",,"merged","abydosTombF"
66152,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23199511853",,"merged","abydosTombF"
66153,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23458367629",,"merged","abydosTombF"
66154,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23199511223",,"merged","abydosTombF"
66155,"A large mastaba on the edge of the cultivation later used as a Roman house at two successive periods. The chamber were probably originally vaulted but the upper part was so destroyed that nothing is certain. It may have been of the XXV-XXX dynasty.
Edwards R. Ayrton.","reverseCard","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23458366979","AB.TC.F.001b","superuser","abydosTombF"
66156,"","","","Nov 15.","2.","[...] Ahmed.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23198185414","AB.TC.F.002a","superuser","abydosTombF"
66157,"Shaft some 6' deep x?x broken no chamber but gebel so broken in around that chamber may have collapsed.
Edward R. Ayrton.","reverseCard","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23198185114","AB.TC.F.002b","superuser","abydosTombF"
66158,"Cemetery: F.
Cylindrical steatite bead.","","","Nov. 16.","3.","Shehat Ahmed.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23743837551","AB.TC.F.003a","superuser","abydosTombF"
66159,"In a narrow grave in the gebel a long rectangular coffin containing a skeleton of an old woman. The coffin had apparently been carelessly lowered into the grave & the skeleton was crouched at one end. The coffin had been almost completely destroyed by white ants (?)
[plan]
The coffin measured 5' 11"" x 1' 9"".
A single cylindrical steatite bead was found under the neck bones.
diam 5 ft., below surface, of top of coffin.
Edward R. Ayrton.","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23717921512","AB.TC.F.003b","superuser","abydosTombF"
66160,"Cemetery: F.","","","Nov 16.","4 A.","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23530624060","AB.TC.F.004.Aa","superuser","abydosTombF"
66161,"[plan] 4' deep + 12"" loose sand.
Empty.
Edward R. Ayrton","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23743836611","AB.TC.F.004.Ab","superuser","abydosTombF"
66162,"Cemetery: F.","reverseCard","","Nov. 16.","4.","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23198183814","AB.TC.F.004a","superuser","abydosTombF"
66163,"[plan]
Depth 5' 0. absolutely empty.
Edward R. Ayrton.","","","","","",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23198183654","AB.TC.F.004b","superuser","abydosTombF"
66164,"Cemetery: F.","","","Nov. 16.","5.","Abd el Megid el Kasar.",580,"Amanda Ford Spora; Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23826308285","AB.TC.F.005a","superuser","abydosTombF"
