"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
61670,"Rect. shaft chs. to N. See plan & day book.
Plundered in 1909 by guards.
Gold barne beads, ribbed [...]
Small red ring beads
Be-je amulets, eyes 3, animal & golden Roman glass bead
Piece of a [...] dark be-je ring (?)
Jan. 7
Five Ushabtis, red clay, black, red & yellow paint, four without [...], one smaller with. These from right chamber","reverseCard","","","","",580,"Michael George Adams; Janet Levy; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23032921386","AB.TC.P.alpha-a","superuser","abydosTombP"
61671,"Two dark bl. glass ball beads.
Four bronzes
Jan. 8
Alab. lid with 3 holes
Pink clay Ushab, red, black & yellow paint
Yellow ball bead
Two dark grey [...] bead,
Long cyl. be-je bead
3 gold ear-rings
Part of wooden cup
Parts of 2 head rests
Jan. 9th
Small be-je Bez amulet
Minute be-je scarab
Mixed beads, some late of glass
Rough ochre pot","","","Jan. 7, 8 & 9","","",580,"Michael George Adams; Janet Levy; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23058971375","AB.TC.P.alpha-b","superuser","abydosTombP"
61672,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22640568968",,"merged","abydosTombP"
61673,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23070137731",,"merged","abydosTombP"
61674,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22666700969",,"merged","abydosTombP"
61675,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22666700439",,"merged","abydosTombP"
61676,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22436187324",,"merged","abydosTombP"
61677,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22640573898",,"merged","abydosTombP"
61678,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23058967915",,"merged","abydosTombP"
61679,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22640572818",,"merged","abydosTombP"
61680,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22640616727",,"merged","abydosTombP"
61681,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22437769563",,"merged","abydosTombP"
61682,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22436183584",,"merged","abydosTombP"
61683,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22666695479",,"merged","abydosTombP"
61684,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22666696689",,"merged","abydosTombP"
61685,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23070131481",,"merged","abydosTombP"
61686,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22437766313",,"merged","abydosTombP"
