"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
66436,"Cemetery: South
Large square shaft. 2.90 x 2.90 m. depth 9 m. top well bricked
Stele in rubbish above shaft.
Also few bl. gl. beads, fragments & a broken Ushabti.
Fragts. of bl. gl. bowl & lid
Small cylindrical beads
Pair of horns, goat or ram.
Fragts. of v. late pottery.
Half a limestone figure, rough work, female with wig
The grave is clearly late & later still the shaft was filled up with fragments of mummies.
OVER.","reverseCard","","Dec. 26th","R.1.","Ahmed Sirhan",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062796985","AB.TC.R.001a","superuser","abydosTombR"
66437,"Details of chamber
[plans]
Bricks measured 32 x 14 x 8 cm","","","","","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440015204","AB.TC.R.001b","superuser","abydosTombR"
66438,"Rectangular shaft. In top fragt. of stele, at bottom another fragment. / Over
Also 2 copper nails & piece of gold foil in shaft
First chamber on North side.","","","Jan 2nd","R.2.","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440014854","AB.TC.R.002a","superuser","abydosTombR"
66439,"[drawing]
[hieroglyphs]","","","","","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23049199692","AB.TC.R.002b","superuser","abydosTombR"
66440,"Cemetery: South
Small & shallow rectangular turba. Child's body in coffin of stucco & wood. Tucked-up position. Age 2 or 3. / Over
Bl. gl. amulet [drawing]
Black glass bead (?) [drawing]","","","Jan. 5th.","R.3","Ahmed Sirhan",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441588123","AB.TC.R.003a","superuser","abydosTombR"
66441,"[drawing]","","","","","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440013374","AB.TC.R.003b","superuser","abydosTombR"
66442,"Cemetery: South
R.4. Rectangular vault, roughly east & west. Two mummies heads to east. Heads & hands plundered. Wooden & stucco fig. of Osiris in S.W. corner. / OVER
R.5. Rect. shaft chamber S, empty
R.6. Rect. shaft N.S. chamber to S. Woman skull & few bones, fragts. of head rest & 2 carnel. beads at entrance to chamber.","","","Jan. 8th.","R.4. 5. 6","Ahmed Sirhan",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440011734","AB.TC.R.004a,005,006","superuser","abydosTombR"
66443,"Front of figure
[hieroglyphs]","","","","","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23073993001","AB.TC.R.004b","superuser","abydosTombR"
66444,"Cemetery: South
Vaulted tomb.
Two vases [drawing] [drawing] late
Shells, bl. gl. fragments, long beads etc. all late.
Two pairs of animal horns.","","","Dec. 26th","R.10.","'Abu il Megîd",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644469987","AB.TC.R.010","superuser","abydosTombR"
66445,"Cemetery: South.
R.11. Rectangular room or walled space
Mummy - male, head S, feet N hands crossed, no ornaments
Jug on breast [drawing] upturned broken vase on belly.
3 mummified cats
Late beads shells & amulets.
Painted stucco fragment.
Disturbed & broken mummy.
R.12. Shaft in gebel & chamber off west side. Body plundered out except toes. VI Dyn. type","","","Dec. 29th.","R.11. & 12.","'Abd el Megîd",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644411568","AB.TC.R.011,012","superuser","abydosTombR"
66446,"Cemetery: South
B.13. Rectangular chamber, once vaulted
Masses of bones & some fragments of mummies
Late beads, clay Ushabti, glaze fragts. amulets, shells & a bronze scale pan. Head-rest of wood.
R.15. Shaft of VI. Dyn. by side of R.12. Unfinished. ","","","Dec. 29th.","R.13, 15","'Abd el Megîd",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23036775826","AB.TC.R.013,015","superuser","abydosTombR"
66447,"Cemetery: South
VI. Dyn. shaft, square, chamber on west.
a) In shaft 4 bl. gl. amulest (late)
b) fragt. of bronze
c) two small mud pots [drawing]
d) late long bl. gl. beads","reverseCard","","Dec. 30.","R.14.","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23049221962","AB.TC.R.014","superuser","abydosTombR"
66448,"Cemetery: R.
Rectangular shaft, N.W - S.E.
In shaft a vase stand [drawing]
Also
(a) Four bl. gl. scarabs / See over
(b) Oblong seal with horns on one side bl. gl.
(c) Leaden ear-ring
(d) Part of shell ear-ring.
(e) Pottery see over
(f) Head & feet of fine limestone figure
In S. chamber
(a) Shells & bl. gl. beads
(b) Two bronze ear-rings
(c) Stucco & gilt fragments
(d) Bl. gl. scaraboid, bad work, plain","","","Dec. 31st","R.16.","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062816595","AB.TC.R.016a","superuser","abydosTombR"
66449,"[drawing] [Amenhotep I]
[drawings]
Pottery
(a) Type [drawing] 23. + 8 more [drawing] tendency to this form. Noter one with buff above body & red rim (fine ochre ware)
(b) type [drawings]
(c) [drawing] 2 medium, 2 small + 5
(d) [drawing] small
(e) Type [drawings]
(f) Remains of 2 white spotted bowls..
(g) [drawing] 2, on white edged
(h) [drawing] black topped, small
(i) [drawing]
(j) [drawing]","","","","","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670539819","AB.TC.R.016b","superuser","abydosTombR"
66450,"Cemetery: South
North chamber
(a) Four shells
(b) Small ring of shell
(c) Fragment of gilded stucco
(d) Pottery / Over","","","Jan 5th","R.16. cont","'Abd el Megîd",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670539409","AB.TC.R.016c","superuser","abydosTombR"
66451,"[drawing] spotted ware; [drawing] white rim; 9 small vases of type above [drawing] red closed [drawings]
[drawing] large red; [drawing] whitish
[drawing] white edged; [drawing]; [drawing]; [drawings] red incised
[drawings]; [drawing] rough black cf. the red & bl. in other chamber","","","","","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441608503","AB.TC.R.016d","superuser","abydosTombR"
66452,"Cemetery: South
Vaulted chamber. / Measured.
Contained mummies, badly plundered.
Rough pottery fragments.","","","Jan. 1st.","R.17.","'Abd el Megîd",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670538399","AB.TC.R.017","superuser","abydosTombR"
66453,"Cemetery: South
Rectangular shaft W. of R.16.
In shaft 3 carnelian beads & 6 vases [drawings]
South ch.
Torso of limestone statue
Rough flint, & small flake.
Ebony kohl stick
Leaden ear-ring.
Glass & bl. gl. beads, large shell.
Copper rivet
Pottery group (over) / Over
North chamber
was never finished as it cut into B.19.","reverseCard","","Jan 6th","R.18","'Abd el Megîd",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440034004","AB.TC.R.018a","superuser","abydosTombR"
66454,"Upper. [drawing] v. large; [drawing] small; [drawings]
[drawing]; [drawing] good ochre red rim cf. thin type. certainly comes through into XVIIIth early; [drawing] rough red","","","","","",580,"Michael George Adams; Amanda Ford Spora; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23073988381","AB.TC.R.018b","superuser","abydosTombR"
