"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
62098,"Cemetery: South
Tomb: T.1.
Rectangular shaft, leading at once on north through a round topped door into a barrel vaulted chamber.","reverseCard","","Jan. 6th","T.1.","Ahmed 'Ali",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440069264","AB.TC.T.001","only good record","abydosTombT"
62099,"Cemetery: South
Tomb: T.3.
Rect. shaft, chamber to south. N-S.
In shaft, well below burial A. (over)
(a) Nine vases of refined clay [drawings]
(b) Three pieces coral
(c) Alab. mortar & 2 pestles
(d) Two bl. gl. scarabs (over)
(e) Bronze hook & tweezers
(f) Gold earring.
(g) Bl. gl. & glass & shell beads ([shaft & chamber]
(h) 4 bl. gl. amulets
(i) 2 black amulets [chamber]
(j) Small alab. vase & lid [drawing]","","","Jan. 9th.","T.3.","Ahmed 'Ali Yunis",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062849405","AB.TC.T.003a","only good record","abydosTombT"
62100,"Scarabs [drawings]
Burial A. in coffin high in shaft, head S.
In S. chamber several burials.
(a) A child with 7 bl. gl. amulets at neck
(b) Bronze vase
(c) Small buff clay vase wheel made
(d) Large pear shaped bead of rock crystal.
(e) Red pottery bowl [drawing]","","","","","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23049254582","AB.TC.T.003b","superuser","abydosTombT"
62101,"Cemetery: South
Tomb: T.4.
Rect. shaft, N & S, chamber S.
In chamber child in coffin, on l. side head north.
(a) Two small ivory vases (?)
(b) Bl. gl. scarab, no inscription.
(c) Mother of pearl discs.
(d) Two shells & cowry
(e) Bead [drawing]
(f) Bl. beads & amulets.
(g) 2 vases (one prob. intrusive) [drawings]
[Large vase with lines of v. young body. prob. from next shaft (broken) Large vase with inscription.]","","","Jan 9th","T.4.","'Ali Yunis",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23049254082","AB.TC.T.004","superuser","abydosTombT"
62102,"Tomb: T.5, 6, 17
T.5.
Body hunched up at lower end of coffin in turba. Head N, feet S.
T.6.
Body head W, legs E in turba across top of T.4.
T.17. Long shaft. At top boy's body in coffin supine, head to S. on left side
Chamber to S. Disturbed, one body in sandaq, mirror at head [(?) N] end 
Two vases [drawings] apparently late.
Beads [drawing] black & white","","","Jan 9th","T.5, 6, 17","'Ali Yunis",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23036805626","AB.TC.T.005,006,017","superuser","abydosTombT"
62103,"Tomb: T.8.
T.8. Turba N & S. Body supine in wood coffin head to S.
(a) Mother of pearl beads
(b) Bl. gl. beads
(c) White discoid beads.
(d) Fragments of leather.","","","Jan 10th.","T.8.","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644440578","AB.TC.T.008","superuser","abydosTombT"
62104,"Cemetery: South
Tomb: T.11. & 12, 13, 14
T.11 & 12
Two rectangular coffins under a late wall.Both N.W-S.E & side by side, feet to N.W.
No furniture.
T.13.
Body in sarcoph. with stucco & paint lid. Coffin shaped at shoulders. Supine, head to west. No furniture
T.14. Turba, body broken up, under wall masses of long bl. gl. beads.","","","Jan. 6.","T.11. & 12, 13, 14","Seyid aln Sêl",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670570769","AB.TC.T.011,012,013,014","superuser","abydosTombT"
62105,"Cemetery: South
Tomb: T.21.
VI. Dyn. shaft. Chamber to west but only slightly undercut. Body disturbed in wooden coffin. Head to N.W. No furniture.","","","Jan. 7th.","T.21.","Ahmed 'Aise",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644439738","AB.TC.T.021","superuser","abydosTombT"
62106,"Cemetery: South
Tomb: T.22.
VI. Dyn shaft. Chamber to north but only slightly undercut. Body in wooden coffin, plundered & disturbed.
(a) thick alab vase [drawing]
(b) Bone seal [drawing]
(c) Bone pendant [drawing]
[(d) Bead of dark & light bl. gl.] [drawing]
VI. Dyn pot in radim above [drawing]","","","Jan. 8th","T.22.","Ahmed 'Aise",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441639723","AB.TC.T.022","superuser","abydosTombT"
62107,"Cemetery: South
Tomb: T.25, 26, 27, 28
T.25.
VI. Dyn. square shaft, body only. No furniture, chamber west, slightly undercut only, head N., body on r. side.
T.26.
VI. Dyn square shaft. Chamber east, body on left side, head north, female. no furniture, thick wooden coffin
T.27.
VI. Dyn. Suqare shaft. Two coffins bodies on l.side. No furniture. [plan]
T.28.
VI. Dyn shaft (?) Body disturbed, no finds. [plan]","reverseCard","","Jan 9th","T.25, 26, 27, 28","Ahmed 'Aise",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670569239","AB.TC.T.025,026,027,028","superuser","abydosTombT"
62108,"Cemetery: South
Tomb: T.31, 32, 33.
T.31. See over.
T.32. Child's body beside wall of T.31. Plundered. 8 cowries, 5 bl. gl. amulets & 4 bl. gl. beads.
T.33. Small vaulted chamber. N. of T.31. Long bl. gl. beads. 4 jackal figs. & winged beetle in bad green glaze.","","","Jan. 8th.","T.31, 32, 33.","Mhd. 'Awad",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062844775","AB.TC.T.031a,032,033","superuser","abydosTombT"
62109,"","","","","","T.31.",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441638343","AB.TC.T.031b","superuser","abydosTombT"
62110,"T.41
Trench burial, badly upset. Head & legs only, one bl. gl. scarab. (drawing of scarab with inscription)

T.42
Turba N  S. Head north, supine.

T.43
Turba, E & W, feet west. Head rest sideways under head, supine. Discoid beads  & mother of pearl. Bl. gl. beads, shells, part of bl. gl. Bez figure.

T.44
Turba, boy in coffin, head N, on left side.","","","Jan. 9th","T.41, 42, 43, 44","Sawq Awad",658,"Michael George Adams; Susan Magyarody","https://www.flickr.com/photos/25459876@N04/22644437758","AB.TC.T.041,042,043,044","only good record","abydosTombT"
