"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
62066,"Tomb U.1.
Dynasty: Pre.
Pre Turba
Vases (1) B.22b; (2) B.22.f.
Stone vase (1) H.72.
Diorite mace-head, chipped under head of body. [drawing]
U is a predyn. cemet. near Umm il Qa 'âb
See cemet. Abydos II.
SEE OVER","reverseCard","","Feb. 7th-9th","U.1.","",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440088094","AB.TC.U.01a","only good record","abydosTombU"
62067,"[Plan]
Head direct south, remains in a rectangular space & rising a little to north. Mat over head still visible, no signs of coffin. Body completely disarticulated. Femora are with head north the other head south. Hip bones as figured are over the other & out of position. Coccyx & sacrum over one femur, some ribs & one large ankle bone over breast. Lower jaw attached to head but rather out of position. See Photo.","","","","","",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440087774","AB.TC.U.01b","only good record","abydosTombU"
62068,"Tomb (number): U.2.
Dynasty: Pre.
Small oval turba, no body left except a few bones.
Broken ivory vase
Flint rough
Piece of obsidian
Bl. gl.short cyl. beads.","","","Feb. 9","U.2.","",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23036826126","AB.TC.U.02","only good record","abydosTombU"
62069,"Tomb (number): U.3.
Oval turba possibly intact.
[plan]
bones of animal
body on l. side, head south
Bones in bad state prob. some missing.
Mat over burial & pots","","","Feb. 9th","U.3.","",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441661743","AB.TC.U.03","only good record","abydosTombU"
62070,"Tomb (number): U.4.
Dynasty: Pre.
A large jar upright in the sand.
No contents.
Photo.","reverseCard","","Feb. 9th.","U.4.","",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670590779","AB.TC.U.04","only good record","abydosTombU"
62071,"Tomb (number): U.7.
Dynasty: Pre.
Turba of uncertain size, plundered
[plan]
fragments of bone in coffin of ochre pottery. 114 x 53 x 28 curved out at ends.
A few beads in coffin
13 wood (?) [drawing] gold-foil covered
1 bl. gl.
4 pieces malachite
Photo","","","Feb. 10","U.7.","[arabic]",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23036824756","AB.TC.U.07","only good record","abydosTombU"
62072,"Tomb (number): U.8.
Dynasty: Pre.
[plan]
150 x 100 x 120
head S.
Mat & skin under it
Ph.","","","Feb. 12.","U.8.","[arabic]",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23049280932","AB.TC.U.08","only good record","abydosTombU"
62073,"Tomb (number): U.9.
Dynasty: Pre.
[plan]
Mat over body
head turned face up
legs || to spine","","","Feb. 12th","U.9.","[arabic]",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670598499","AB.TC.U.09","only good record","abydosTombU"
62074,"Tomb (number): U.10.
Pre-dyn
[plan]
1. Frags
2. Frags of B11f
3. B35d
4. B75a
5. B74a
Male body in wooden coffin. Ox ribs in front of coffin. Malachite & pebble in front of face. Head to S. Bits of cloth.","","","Feb. 12th.","U.10","",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441669233","AB.TC.U.10","only good record","abydosTombU"
62075,"Tomb (number): U.11.
Pre-dyn
[plan]
1. P66
2. B29a
3. B22b
4. P1a
5. B19a
6. B19a
7. P17
Large roughly oval turba, 150 cms deep, Male body covered with a reed mat. In front of face were two rough mud figures","reverseCard","","Feb. 12th.","U.11","",580,"Michael George Adams; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441668833","AB.TC.U.11","only good record","abydosTombU"
