"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
62039,"Surface burial in oblong wooden coffin.
Body supine, hands placed above the pelvis, head pointing NW.","reverseCard","","Dec. 28th","W.1.","Sowâg",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23036861906","AB.TC.W.01","superuser","abydosTombW"
62040,"Rect. shaft. Brick lined down to hard gebel. Chs. to N & to S. Plundered.
In shaft: Wooden hand fr. coffin, 4 bl. gl. fly amulets, Small discoid bl. gl. beads, Small bone disc.
In N chamber: poor bl. gl. scarab, Alab. kohl pot (no necl), Rough flint, Bone disc (as in shaft), Piece of flat alab. vase, Half of haematite kohl stick, 2 wooden kohl sticks, Wooden comb (poor condition), Copper callipers, Wooden Shabti similar to sev. found near a damaged burial near the shaft.","","","Dec. 28.","W.2","Sawâg",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062900955","AB.TC.W.02a","superuser","abydosTombW"
62041,"Small mud stoppers (12), Pottery group, Wood head rest.
In South chamber: Necklace of bl. gl. flies & beads, Piece bone inlay with [drawing], Copper callipers, Bl. Glass beads [drawing], Bl. gl. beads [drawing], Bl. gl. spindle [drawing], Piece of ivory bracelet, Carnel bead.
On top of shaft: Haematite kohl stick.
Shaft N.W-S.E.: 232 x 90 inside, Walls 30 thick, Bricking to 2.10 broken at top, Depth 4.15, Ledge of .10 a end of brick.","","Reverse of card W.2?","","","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23036861186","AB.TC.W.02b","superuser","abydosTombW"
62042,"Rect. shaft. ch. to N & S. 
Deposits burnt by fire in shaft.
S. chamber: Wood hand, Piece bone inlay with [drawing], 2 dôm nuts, 3 figs, Alab. vase, Lid of another, Copper mirror & copper handle, Worked shell conus, Piece of stucko with gold leaf, Pottery, Rough ring of mother of pearl.
N. chamber: Pieces of 2 alab. Pepi jars, lid for one, Ivory wand shape of arm, Pieces of bone inlay as above, [...] knob in piece of bone, Large ivory (?) fly.","","","Dec. 29th","W.3.","Sawag",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670624199","AB.TC.W.03a","superuser","abydosTombW"
62043,"Shaft NW & SE
276 x 125 inside
Walls 46 thick.","","","","","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644493948","AB.TC.W.03b","superuser","abydosTombW"
62044,"","","","Dec. 30th","","Sawag",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23074071811","AB.TC.W.04","superuser","abydosTombW"
62045,"Rect. shaft. Brick lined down to hard gebel
Shaft NW & SE. 278 x 97
Walls 45 thick.
Chamber at either end, badly plundered.
Pottery group.
In N chamber: Fragment of blue glazed bowl [drawing], Large numbers of very coarse mud whitened shabtis, Wooden beard.
In S chamber: Alabaster kohl pot [drawing], small stone vase [drawing], Blue glazed eye inlaid, one circular & one cylindrical bead, 1 shell bead, a large quantity of small rough shabtis showing traces of blue glaze.","","","Dec. 30th","W5","Sawag",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670618509","AB.TC.W.05","superuser","abydosTombW"
62046,"Rect. brick-lined shaft. Plundered. Shaft NW & SE. A chamber at each end.
Large numbers of small badly [...] pottery shabtis showing traces of blue glaze, Long Blue bead in the form of a cat? [drawing], one circular blue & one cylindrical blue bead, spiral copper ring, Group of Pottery.","","","Jan. 3rd","W6","Sawag",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670623299","AB.TC.W.06","superuser","abydosTombW"
62047,"Plundered.
Rect. Shaft, brick lined down to hard gebel. Top of shaft broken away.
Shaft 276 x 113. Sides 38 thick. Depth 400.
One chamber at the NW.","","","Dec. 30th","W.7.","Umbarrak",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23074071111","AB.TC.W.07","superuser","abydosTombW"
62048,"Plundered.
Rect. shaft, brick-lined down to the hard gebel, top of shaft broken away.
Shaft 276 x 1.25. Brick sides 46 thick. Depth 480. Shaft NW & SE.
Small quantity of pottery.","","","Dec. 30th","W8.","Sawag",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441693943","AB.TC.W.08","superuser","abydosTombW"
