"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
62005,"Cemetery: XII Dyn.
Tomb. X.1 & 2
Rect. shaft in a rect. enclosure
N. Chamber broken into next
Many small plain Ushabtin, Fragt. of inlaid eye, Pieces  & limest. Canopic jar, Vaes (fr. this & broken chamber) [drawings]
S Chamber empty","reverseCard","","Dec. 15th 1910.","","Kassâr",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440157904","AB.TC.X.01a,02a","superuser","abydosTombX"
62006,"X.2. Rect. wooden coffin under level of [...] in X.1.
Body supine head of [female] aged to left.
No finds.
head West.
[drawing]","","","","","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441732533","AB.TC.X.01b,02b","superuser","abydosTombX"
62007,"Tomb X.3
Rect. shaft.
Fragt. of white spot ware in shaft.
Stuc[...] coffin, blue signs with black outline. Name erased & another substituted*. See tracing & copy
Pottery.
*Cf also 1909-10 Z.2 for similar coffin & same title","","","Dec. 15th.","","Sirham",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644530938","AB.TC.X.03a","superuser","abydosTombX"
62008,"[drawings]","","","","","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22440156484","AB.TC.X.03b","superuser","abydosTombX"
62009,"Tomb X.4
Rect. shaft N-S.
Chmaber
(a) Painted stucco coffin.
(b) Pottery [drawing] 4 holes
(c) Bronze needke & fish hooks these in top radïm","","","Dec. 15th","","M. 'Awad",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644530228","AB.TC.X.04","superuser","abydosTombX"
62010,"Tomb X.5
Rect. shaft.
North ch.
Soul house with steps, Wooden hairpin, Small alab. k. pot, 2 long pink beads [drawing], Horn bracelet, Vases [drawings], 2 long blue beads as above
IX-XI","","","Dec. 14th.","","Sawag",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644586057","AB.TC.X.05","superuser","abydosTombX"
62011,"Tomb X.6.
Rect. shaft.
North chamber
(a)Small blue paste bead
(b) fragt. of shell
South chamber
2 vases [drawings]","reverseCard","","Dec. 14th","X.6.","'Aisa",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22670657629","AB.TC.X.06","superuser","abydosTombX"
62012,"Tomb X.7.
Rect. shaft.","","","Dec. 15.","X.7.","'A. Sharayif",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23049338912","AB.TC.X.07","superuser","abydosTombX"
62013,"Rect. Shaft
North Chamber.: Half steat[...] figne. white clay., Small discoid white beads, One small pot [drawing].
South Chamber: Small pot [drawing].
9 [...] Ground
Rect. shaft. Two chambers, empty.
Stone with neb signs, [drawing] rough, [drawing] red pol.","","","Dec. 14","X.8.9.","'Abd el Waris",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441729653","AB.TC.X.08,09","superuser","abydosTombX"
62014,"Tomb: X.10-11.12
10. Rect. shaft.
Body in shaft.
Female, on back legs crossed, clasping body of small boy at left side.
3 bronze rings, 4 bl. gl. beads, piece of dull blue glaze plaque.
Collapse of gebel disturbed remains.
11. Rect. shaft
Both shafts abandoned as dangerous. Dec. 19th.

12. [arabic] Rect. shaft.
in shaft v. small discoid blue gl. beads, nut & 2 pieces of wood.
S. chamber, Alab. kohl pot [drawing].","reverseCard","","Dec. 16th.","X.10-11.12","M. 'Awad",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644528088","AB.TC.X.10,11,12","superuser","abydosTombX"
62015,"Tomb: X.20-21
20. [arabic] Rect. shaft, no finds
21. [arabic] Rect. shaft, no finds","","","Dec. 16.","X.20-21","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23049337362","AB.TC.X.20,21","superuser","abydosTombX"
62016,"Tomb: X.22, 23
22. [arabic] Rect. shaft: white discoid beads, Needle of copper, Piece of gold necklet or armlet of small discoid beads.
23. [arabic] Rect. shaft.","","","Dec. 17.","X.22, 23","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062932215","AB.TC.X.22,23","superuser","abydosTombX"
62017,"24. [...]
Rect. shaft. M. shaft:
Beads, discoid white [drawin of2 beads]
Kohl stick (wood) & kohl shell.
Kohl pot lid (small)

25. [...]
One upper chamber to S, two lower, one to W, one to S.
From bottom of shaft:
     a) Frag. of bl. gl. vase
     b) Bronze serpent.
     c) Frags. of stucco f[...]
     d) Dôm nut
     e) Two shells

                                         Over


","","","Dec. 17th.","X.24, 25","",658,"Michael George Adams; Susan Magyarody","https://www.flickr.com/photos/25459876@N04/23062931925","AB.TC.X.24,25a","only good record","abydosTombX"
62018,"     f) White & blue discoid beads
     g) Small piece of s[...]
     h) Pots [drawings of 4 pots]

From Upper Chamber:
     a) Oyster shells
     b) Beads, carn. a[...] & spotted blue
     c) Small shell","","","","","",658,"Michael George Adams; Susan Magyarody","https://www.flickr.com/photos/25459876@N04/22670654429","AB.TC.X.25b","only good record","abydosTombX"
62019,"30. [...]
Child in coffin, shallow, head to W, supine.","","","Dec. 18th.","X.30","",658,"Michael George Adams; Susan Magyarody","https://www.flickr.com/photos/25459876@N04/23049335702","AB.TC.X.30","only good record","abydosTombX"
62020,"Tombs: X.31.32,35.
X.31: Furba. E & W. at a depth from surface of 7 feet (7 x 2 x 2 1/2 ft) containing a large wooden coffin in which a few bones remained of the original body which had been almost entirely destroyed.
X.32: A similar Turba, no bones or traces of coffin remaining.
35. Similar turba. No finds.","reverseCard","","18/XII/10","X.31.32,35.","'El Kasar",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23074102111","AB.TC.X.31,32,35","superuser","abydosTombX"
62021,"Tomb X33.
33. [arabic]
Deep rect. shaft ch. to N & S.
N. chamber: White discoid beads, bl. gl. bead
S. chamber: Long dark bl. gl. beads, evid. a late re-burial","","","Dec. 19th","X33","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441725463","AB.TC.X.33","superuser","abydosTombX"
62022,"Tomb X34.
1. Rect. shaft.
2. Near top an offering stela 
3. In shaft a rough painted Ushabti
4. One large chamber with niche (to South)
5. Blue glaze plaque with name
6. Piece of an arrow
7. Pot of curious shape [drawing]
8. 8 Large spherical beads bl. & gr. glaze.
9. 6 short cylind. beads, & one more. 
10. Part of red pol. bowl (in shaft)","","","Dec. 19th.","X34.","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062929635","AB.TC.X.34","superuser","abydosTombX"
62023,"Tomb: X36-37
36. Rect shaft, 2 ch. Empty
37. Rect. shaft.
Ch. to S. Kohl vase (half) on top of râdim in chamber [drawing]","","","Dec. 22.","X36-37","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062922715","AB.TC.X.36,37","superuser","abydosTombX"
62024,"Tomb: X38-39
38. Shaft. [arabic] no finds.
39. V. late turba. [arabic] Piece of ivory object & bl. gl. beads mostly small.","reverseCard","","Dec. 22.","X38-39","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644524208","AB.TC.X.38,39","superuser","abydosTombX"
62025,"Tomb: X40. = C.81. 1912
A large building (see plans)
in central portion a v. small wooden sarcoph. (model) under the [...], fell to pieces. Apparently empty. In centre.
Two broken mud vases at S.W. corner
The wide shaft had a v. large rect. chamber to S but was empty
[plan]","","","Dec. 18th. onward","X40. = C.81. 1912","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644523808","AB.TC.X.40","superuser","abydosTombX"
62026,"Tomb: X41
Rect. Shaft.
2 broken Ushabtiu in top.
gold ring & v. small beads.
Ch. to N & S empty (coffin in N, no body)
lower ch. to S.","reverseCard","","Dec. 24","X41","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441723803","AB.TC.X.41","superuser","abydosTombX"
62027,"Tomb: 50X
Rect. shaft.
In the shaft, lintel of limest. stela
Rough cyl. bl. gl. beads, hawk-headed vase lid & 2 vases [drawing] small.
Broken vase [drawing]
Pieces of cartonnage (OVER)
Three ring vases [drawing]","reverseCard","","Dec. 23","50X","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644578857","AB.TC.X.50a","superuser","abydosTombX"
62028,"Cartonnage [drawing]","","","","","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441722873","AB.TC.X.50b","superuser","abydosTombX"
62029,"Cemetery: X
Tomb: 51.X
Rect shaft. 2 chs to S, one to N
In N. ch
(a) 2 large rings & one small (silver)
(b) fine set of beads carnel. (scaraboids) (& spherical), one light green stone pendant, small white discoid beads & one blue glass bead (!!)
In shaft
(a) Alab. vase [drawing]
(b) Ivory handle of knife
(c) Pieces of wooden box
(d) Black vase (small) [drawing]
(e) Red Vase (small) [drawing]
(f) Red vase smaller [drawing]
(g) Ochre vase, red wash on upper half [drawing]
(h) Fragt. black ware
OVER","reverseCard","","Dec. 23.","51.X","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23074098481","AB.TC.X.51a","superuser","abydosTombX"
62030,"(i) Fragt. haematite-washed vase with with black rim
From S. lower ch.
(a) Two pieces of small box
(b) Carnel. beads [drawings]
(c) Bl. & gr. glaze beads.
(d) Blue spotted bead
(e) White discoid beads
(f) Fragts. gold foil
(g) Ameth. bead.","","","","","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644577447","AB.TC.X.51b","superuser","abydosTombX"
62031,"Tomb: 52.X
Rect. shaft
N. chamber
Pot group (over). Drawn.
S. chamber
(a) Blue marble swan-shaped vase
(b) Alab. dish with 4 tags
(c) Pottery group. Drawn","","","Dec. 24th.","52.X","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062925955","AB.TC.X.52a","superuser","abydosTombX"
62032,"","","","","","",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441721153","AB.TC.X.52b","superuser","abydosTombX"
62033,"Tomb: 55X
Very large bricked shaft.
Chs. to N & S.
Plundered in Roman times & worked with the sieve.","","","Dec. 23.","55X","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22441720853","AB.TC.X.55","superuser","abydosTombX"
62034,"Tomb: 56X
V. large rect. shaft
No finds.
Chambers to N & S, bricked to about 50 cm. fr. [...].","","","Dec. 24.","56X","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23074096481","AB.TC.X.56","superuser","abydosTombX"
62035,"Tomb: 57X
V. large rect. shaft, inlet at sides. Plan.
Ch. to N & S. & undercut to E.W. Section. 2 Photoes
n S.
(a) Large granitic (?) seated statue cf man & wife & son
(b) Three small vases [drawings]
","","","Dec. 24.","57X","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644519508","AB.TC.X.57","superuser","abydosTombX"
62036,"Tomb (number) X58, 59.
58. Rect. shaft
Ch. to N broken p. 57
In shaft
Piece of statue with inscription (Drawn)
Two fragts. of a limestone stela (Drawn) painted & inscribed.
Three vases [drawings] all red ware
59. Rect. shaft
Ch. to N broken  p. 57","","","Dec. 28-9, 1911","X58, 59.","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644575337","AB.TC.X.58,59","superuser","abydosTombX"
62037,"Cemetery: XIIth.
Tomb: X60, 61, 62.
60. Body in bricked turba, moved & plundered. Small br. ring.
61. Body in wood coffin, disturbed, head to N. One pot at head [drawing]
62. Baby in turba, head N. on r. side
2 beads, Prob. XII or XIII, one carnel. [drawing], one deep bl. gl. [drawing], this last exactly similar to that of 51, S. ch.","","","Dec. 23.","X60, 61, 62.","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062923425","AB.TC.X.60,61,62","superuser","abydosTombX"
62038,"Tomb (number): X 63, 64
Rect. shafts with 4 ch. each, upper ch. all empty
64. gave a pot. group in shaft (Drawn)
N. ch.
Piece of arrow.
2 small pieces of an ivory object
Bl. gl. scaraboid, plain
2 small ivory rivets
Piece of a horn obj. [drawing]
Pierced shell
PART of cat 1910-11","","","Dec. 31.","X63, 64","[arabic]",580,"Susan Magyarody; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644574027","AB.TC.X.63,64","superuser","abydosTombX"
