"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
61687,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22670672619",,"merged","abydosTombY"
61688,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22644600127",,"merged","abydosTombY"
61689,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23062949125",,"merged","abydosTombY"
61690,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22441744183",,"merged","abydosTombY"
61691,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22441743903",,"merged","abydosTombY"
61692,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22441743573",,"merged","abydosTombY"
61693,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22644542508",,"merged","abydosTombY"
61694,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22644601857",,"merged","abydosTombY"
61695,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22440171614",,"merged","abydosTombY"
61696,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22440171394",,"merged","abydosTombY"
61697,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23049354702",,"merged","abydosTombY"
