"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","userID","inputBy","imageURL","imageTitle","Processing","project"
61112,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23036936986",,"merged","abydosTombZ"
61113,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/22440199534",,"merged","abydosTombZ"
61114,,,,,,,,,"https://www.flickr.com/photos/25459876@N04/23036938466",,"merged","abydosTombZ"
61115,"Mud brick vault N-s 3 female bodies - disturbed. a. set breast [amts] scab wings + 4 [gerai]; b. 6 blue gl. [Eyes]; c. 1 wooden [Ege]; d. green [flaic] Bess; e. [Nedge hop]; f. Green glaze horus; g. 6 [corres.]; h. one lay barrell bead, blue gl.; k. four large one small spherical blue glaze bead.; l. spiral shell; m. bronze or copper ring; n. [lino daquerate] Eyes?","reverseCard","","","Z 2","Sirhan",433,"Joellen mcGann; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23036937756","AB.TC.Z.02","superuser","abydosTombZ"
61116,"Rectangular shaft, N.W - S.E.
Two chambers N & S.
In North chamber
(1) Fragments of coffin painted stuces.
(2) Gold foil
(3) Two red dishes, one with comb pattern
(4) White spotted dish
(5) Inlaid eye
(6) Alabaster vase - 65 cm.
(7) Few beads of bl. glaze
(8) pear-shaped bead (glazed crystal)
Name. [...]
Cf. for title & style of coffin (detailed birds etc.) 1910-11 X.3.","reverseCard","","Dec. 31st.","","Ahmed Gise",580,"Daniel Pett; Venus Clark; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23074149181","AB.TC.Z.02.a","superuser","abydosTombZ"
61117,"Sufrin Ext. no coffin. N.E. necklace of beads + amulets, r glaze. a. 3 blue frgs; b. 1 white hand; c. 2 blue heads; d. 4 blue eyes; e. 5 Menats (blue); f. 1 white menat; g. 1 swallow tail; h. 5 spherical beads in blue + red glaze; k. 1 blue glaze tubular bead + other small amulets.","","","","Z 3","Jurba",433,"Adrien Wasila; Joellen mcGann; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23062977305","AB.TC.Z.03","superuser","abydosTombZ"
61118,"Ext. Suprina wrapped in rushes N. E.","","","","Z 4","Jurba",433,"Venus Clark; Joellen mcGann; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644571448","AB.TC.Z.04","superuser","abydosTombZ"
61119,"Supine Ect female unshaped wooden cof.  N. n.  no finds.","reverseCard","","","Z 5","Turba",580,"Daniel Pett; Venus Clark; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23074154161","AB.TC.Z.05","superuser","abydosTombZ"
61120,"On suk ext. h nr. wooden caf. shaped. a) string of blue [als], cord beads; b. two carnelian beads; c. lotus bud; d. degraded eye; e. blue beads; f. shell","","","","Z 6","Turba",433,"Venus Clark; Joellen mcGann; Denis Antoine","https://www.flickr.com/photos/25459876@N04/23074153881","AB.TC.Z.06","superuser","abydosTombZ"
61121,"Supina ext. ...shaped top head n, about the neck: a) Cowrey; b) 3 eyes 2 of them degraded multiple eyes.","","","","Z8","Turba",433,"Adrien Wasila; Joellen mcGann; Denis Antoine","https://www.flickr.com/photos/25459876@N04/22644633067","AB.TC.Z.08","superuser","abydosTombZ"
