"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
65434,"Cemetery: 1
Tomb: 1
Large [...] with later intrusions.","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22799517920"
65434,"Cemetery: A
Tomb: 1
Large mastaba with later intrusions.","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22799517920"
65434,"Large mastaba with later intrusions. ","reverseCard","","Abydos, 1908-9","A 1.","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22799517920"
,,,,,,,,,
,,,,,,,,,
65435,"XXV-XXX
Cemetery: A
Tomb: 2
Date: Nov. 6.
1. Large globular bead, blue glaze.
2. Fragt. of green glaze fig. of Bes.","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22799516570"
65435,"Cemetery: A
Tomb: 2
1. Large globular bead, blue glaze.
2. Frag't. of green glaze fig. of Bes.","","","Nov. 6","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22799516570"
65435,"Large globular [...] blue glaze 
[...] of green glaze fig. of Bes","","XXV-XXX","Abydos, 1908-9","A. 2. ","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22799516570"
,,,,,,,,,
,,,,,,,,,
65436,"Vaulted tomb built against the South side of A1. only the lower part of the south wall remains. The vaulting has entirely collapsed. The tomb was empty except for a bead and a fig. of Bes (fragt.) found on the gebel beneath the débris. The wall does not touch gebel but has a few inches of loose sand beneath it.
Plan: cf Plan of A1.
Edward R. Ayrton.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22366371073"
65436,"Vaulted tomb built against the south side of A1, only the lower part of the south wall remains. The vaulting had entirely collapsed. The tomb was empty except for a bead and a fig. of Bes (frag't.) found on the gebel beneath the délris [sic]. The wall does not touch the gebel but has a few inches of loose sand beneath it.
Plan: cf. Plan of A1.
Signed: Edward R. Lynton","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22366371073"
65436,"Vaulted tomb built against the south side
of A 1. only the lower part of the south wall
remains. The vaulting has entirely collapsed. 
The tomb was emply except for [..] a bead
and a fig: of Bes(fragt:) found on the gebel
beneath the debris. The wall does not touch 
gebel but has a few [...] of loose sand
beneath it. 
Plan: - of Plan of A1. ","","","n/a","n/a","Edward R. Leynton","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22366371073"
,,,,,,,,,
,,,,,,,,,
