"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
65466,"Cemetery: Near house
Tomb: B.1
XIInd or later.
Plundered.
XII?
Rectangular shaft. Plundered.
Chamber, square with rounded corners full of sand.
Large number of small mud Ushabtis
Remains of fine painted stucco sarcophagus, on each side of the deceased before 4 gods. Also a boat, probably from the ends. Sarcoph. of Bek en Tahuti
Drawing, Photos 5 & 6
Ivory fragment of wand (?) from the filling of the shaft.
B.2. had a N. chamber plundered from B.1. The shaft descended further but not finished.","reverseCard","","Dec. 9th","","Muh. Awad.","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22961576106"
65466,"Cemetery: Near House
Tomb: B 1 Plundered
Rectangular shaft. Plundered.
Chamber, square with rounded corners, full of sand.
Large number of small mud Ushabtis. Remains of fine painted stucco sarcophagus, on each side the deceased before 4 gods. Also a boat, probably from the ends. Sarcoph. of Bek en Tahuti.
Ivory fragment of wand(?) from the filling of the shaft.
B.2 had a N chamber plundered from B.1. The shaft descended further but unfinished.
Drawing. Photos 5 & 6.","reverseCard","","Dec. 9th","","Muh Awad","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22961576106"
65466,"Rectangular shapt plundered 
chamber,square with rounded corners 
full of sand 
Large number of small mud leshabhis  
Remuis ","reverseCard","","december 9th ","B1","Muh awad Plundered ","Susan Magyarody; Denis Antoine",,"https://www.flickr.com/photos/25459876@N04/22961576106"
,,,,,,,,,
,,,,,,,,,
65467,"Sarcophagus.
[drawings]
These 2 join
See drawing","","","","","","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22974170952"
65467,"Sarcophagus.
These 2 join. See drawing.","","","","","","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22974170952"
65467,"Sarcophagus.
These 2 join
see drawing","reverseCard","This card is mostly drawings of sections of hieroglyphics assuming to be found on a sarcophagus.","","","","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",1408,"https://www.flickr.com/photos/25459876@N04/22974170952"
,,,,,,,,,
,,,,,,,,,
65468,"Cemetery: B, near house
Tomb: B.2.
Rectangular shaft. Chamber broken up from the side of B.1. & quite empty
[plan]","","","Dec.","","Muhammed 'Awad","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22998707561"
65468,"Cemetery: B, near house
Tomb: B.2
Rectangular shaft.
Chamber broken up from the side of B.1 & quite empty.","","","Dec.","","Muhammad 'Awad","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22998707561"
65468,"Rectangular shaft chamber broken up from the side of B.1. and quite empty
","","Drawing of B.1 and B.2, with NW above B.1 and S.E below B.2","December","","Muhammed 'Awad","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",1408,"https://www.flickr.com/photos/25459876@N04/22998707561"
,,,,,,,,,
,,,,,,,,,
65469,"Cemetery: B, near house
Tomb: B.3.
Plundered
Rectangular shaft with a chamber to the north near the top.
Two vases, a third broken & a piece of bl. glaze inlay from the chamber.
[drawings]","","","Dec. 15th","","Muhammed 'Awad","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22987617115"
65469,"Cemetery: B, near house
Tomb: B.3
Rectangular shaft with a chamber to the north near the top.
Two vases, a third broken & a piece of bl. glaze inlay from the chamber.","","","Dec. 15th","","Muhammad 'Awad","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22987617115"
65469,"Plundered

Rectangular shaft with a chamber to the north near the top. Two vases, [...] broken and a piece of be. glass inlay from the chamber. ","","Drawings contained of pottery referenced","Dec. 15th","","Muhammed 'Awad","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",1408,"https://www.flickr.com/photos/25459876@N04/22987617115"
,,,,,,,,,
,,,,,,,,,
65470,"Cemetery: B, near house
Tomb: B.4.
Rectangular shaft, two chambers not v. deep, both empty & half filled with sand.","","","Dec. 26th","","Ahmed 'Ali Yunis","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22366424913"
65470,"Cemetery: B, near house
Tomb: B.4
Rectangular shaft, two chambers not v. deep, both empty & half filled with sand.","","","Dec. 26th","","Ahmed 'Ali Yunis","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22366424913"
65470,"Rectangular shaft, two chambers not v.deep, both empty and half filled with sand.","","","Dec. 26th","","Ahmed 'Ali Yanis (sp?)","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",1408,"https://www.flickr.com/photos/25459876@N04/22366424913"
,,,,,,,,,
,,,,,,,,,
65471,"Cemetery: B
Tomb: B.5.
Rectangular shaft, two chambers
Two stele fragts. above.
Another stele fragment.
N. chamber
2 glass beads
bl. gl. amulet.","","","Dec. 27th","","Ahmed 'Ali Yunis","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22569287358"
65471,"Cemetery: B
Tomb: B.5
Rectangular shaft, two chambers. Two stele fragt's above. Another Stele fragment.

N. Chamber:
2 glass beads
bl. gl. amulet","","","Dec. 27th","","Ahmed 'Ali Yunis","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22569287358"
65471,"Rectangular shaft, two chambers
Two stele [...] above
Another stele fragment

N. chamber
2 glass beads
bl. gl. amulet.","","","Dec. 27th","","Ahmed 'Ali Yanis (sp?)","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",1408,"https://www.flickr.com/photos/25459876@N04/22569287358"
,,,,,,,,,
,,,,,,,,,
65472,"Cemetery: B
Tomb: B.6.
Turba, badly disturbed, bones all removed.
Pear shaped glass beads
Bl. gl. beads
Shell beads
Carnel. beads (2)
Silver (?) ear-ring.","","","Jan 1st","","Ahmed 'Ali Yunis","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22974167562"
65472,"Cemetery: B
Tomb: B.6
Turba, badly disturbed, bone all removed.
Pear shaped glass beads.
Bl. gl. beads
Shell beads
Carnel. beads (2)
Silver(?) earring.","","","Jan. 1st.","","Ahmer 'Ali Yunis","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22974167562"
65472,"Tu[...], badly disturbed, bones all
removed.
Pear shaped glass beads
Be. gl. beads
Shell beads
Camel beads (2)
Silver (?) ear-ring","","","Jan. 1st","","Ahmed 'Ali Yanis","Jillian Byrne-Sweeney; Susan Magyarody; Denis Antoine",1408,"https://www.flickr.com/photos/25459876@N04/22974167562"
,,,,,,,,,
,,,,,,,,,
65473,"Cemetery: Near the house
Tomb: B.10.
Plundered.
Apparently a single barrel-vaulted chamber, gebel floor. [See over] The burials badly disturbed, 5 skulls found, one mummified.
Small fragt. of papyrus, small plain wooden hawk with flat base, fragt. of larger one of painted stucco. 
One large biconical carnelian bead & numerous smaller beads
Two small pendants of dark green stone viz. [drawing] broken, & [drawing] scaraboid
A few fragments of sarcophagus, broken Ushabtis etc & a piece of worked limestone from the rubbish above & near the vault.
Drawing of hieroglyphs fragments.","reverseCard","","Dec. 9th","","Seyid abu Sel","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22799565780"
65473,"Cemetery: near the house
Tomb: B.10
Apparently a single barrel-vaulted chamber, gebel floor [See over].
Te burials badly disturbed, 5 skulls found, one mummified.
Small frag't. of papyrus, small plain wooden hawk with flat base, frag't of larger one of painted stucco.
One large biconical carnelian bead & numerous smaller beads. Two small pendants of dark green stone viz. broken & scaraboid.
A few fragments of sarcophagus, broken Ushabti's etc. & a piece of worked limestone from the rubbish above & near the vault. Drawing of hieroglyph fragments.","","","Dec. 9th","","Seyid abu Sel","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22799565780"
65473,"Plundered
apparently a single barrel vaulted
chamber, gebel floor (see over)
the burials badly disturbed, 5 skulls
found, one mummified
Small fig of papyrus, small plain
wooden hawk with feat base, frag of 
larger one of painted stucco
one large biconical carnelian bead &
numerious smaller beads
Two small pendants of dark green stone 
viz. broken & scaraboid
A few fragments of sarcophagus, broken 
ushabti's etc & a piece of worked limestone
from the rubbish above & near the vault

in margin: drawing of hieroglyph fragments 
","reverseCard","","9 December 1908 -9 -10","B. 10","Seyid Abu Lel","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22799565780"
,,,,,,,,,
,,,,,,,,,
65474,"Sarcoph. frags.
[drawings]
View of S end of vaulted chamber from inside, K is door. Inside measurements.
[drawing]","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22569240787"
65474,"Sarcoph. frag.
View of S end of vaulted chamber from inside, K is door. Inside measurements.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22569240787"
65474,"n/a","","drawing 
View of S end of vaulted chamber from inside, K is door. Inside measurements","n/a","n/a","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22569240787"
,,,,,,,,,
,,,,,,,,,
65475,"Cemetery: Near house
Tomb: B.11.
Plundered
Rectangular shaft. N.W - S.E
In shaft 2 vases [drawing], broken & Ushabti fragments; a few bits of a thin leather object.
In shaft were found later the horn (broken) & part of skull of a large animal, mummified animal limbs & human skulls.
There was a North chamber broken into from B.10. The shaft then descended further but there was no second chamber.
Head of animal (? dog) in shaft. 
A paw prob. of this animal was found over B.10., & indeed the fillings of these two are very mixed.","reverseCard","","Dec. 10th '09","","Mohammed 'Awad","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22364844894"
65475,"Cemetery: near house
Tomb: B.11
Rectangular shaft. NW-SE.
In shaft 2 vases, broken & Ushabti fragments; a few bits of a thin leather object. In shaft were found later the horn (broken) & part of skull of a large animal. Mummified animal limbs & human skulls.
There was a North chamber broken into from B.10. The shaft then descended further but there was no second chamber.
Head of animal (?dog) in shaft. A paw prob. of this animal was found over B.6, & indeed the fillings of these two are very two are very mixed.","","","Dec. 10th","","Mohammad 'Awad","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22364844894"
65475,"Plundered 
Rectangular shaft N.W - S.E
in shaft 2 vases, broken & 
ushabti fragmetns, a few [...] of
a thin leather object
In shaft were found later the h[...]
(broken) & part of skull of a large animal 
mummified animal limbs & human 
skulls
There was a North chamber broken 
into from B. 10. The shaft then descended
further but there was no second 
chamber.
Head of animal (?dog) in shaft
A paw prob. of this animal was found 
over B. 10, & indeed the fillings of these 
two are very mixed.","","","10 December 1909 - 10","B. 11","Mohammed 'Awad","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22364844894"
,,,,,,,,,
,,,,,,,,,
65476,"Cemetery: Near house
Tomb: B.12.
Rectangular shaft.
In top of shaft many vases & fragts.
(a) 9 vases [drawing]
(b) one vase [drawing] & a second smaller
(c) 13 small lumps of mud
(d) 7 Large reddish vases [drawing]
Lower room, at the entrance to & in South chamber was found the material given over page. The box was just inside chamber. Chamber 250 x 120 x 134 (cm) deep
Three pots from the top of shaft.
[drawings] black bands on pink; [drawing] broken & 1 small Ushabti
[plan]","reverseCard","","Dec. 13th","","Sêyid aln Lêl","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22998700511"
65476,"Cemetery: near house
Tomb: B.12
Rectangular shaft.
In top of shaft many vases & frag'ts.
a) 9 vases
b) one vase & a second smaller
c) 13 small limps of mud
d) 7 large reddish vases

Lower down, at the entrance to & in South chamber was found the material given over page. The box was just inside chamber. 
Chamber 250 x 120 x 134 (cm) deep.
Three pots from the top of shaft.
-black bands on pink; broken; & 1 small Ushabti.
","","","Dec. 13th.","","Seyid abu Lel","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22998700511"
65476,"Rectangular shaft
In top of shaft many vases & fragts
a. 9 vases
b. one vase & a second smaller
c. 13 small lumps of mud
d. 7 large reddish vases 
lower down, at the entrance to & in 
south chamber was found the 
material given over page. The 
box was just inside chamber. 
Chamber 250 x 120 x 134 (cm) deep
These pots from the top of shaft 
black bands on pink .... broken ... & 1 small ushabti","","","13 December 1909 - 10","B. 12","Seyid alm Lel","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22998700511"
,,,,,,,,,
,,,,,,,,,
65477,"In & at entrance of S. chamber.
(a) Large masses of pottery fragments.
(b) Small dabs of mud
(c) Box of ivory & wood inlaid in alternate rows on thick wood
(d) Large alab. kohl pot 69 diam., blue glaze lid
(e) Small alab. kohl pot, lid to fit, height 45 mm
(f) Broken alab. kohl pot lid
(g) Three v. large hollow bl. glaze beads
(h) Green gl. scarab 16 mm. long [drawing]
(i) V. small blue gl. Bes figure
(k) A date stone
(l) Two bl. glaze beads
(m) Piece of wood, prob. end of mirror handle
(n) Wooden kohl-stick
(o) Thick ivory bracelet
(p) Fragments of leaves & 2 nuts
(q) Fragments of leather.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22799561430"
65477,"In & at entrace of S chamber:
a) large masses of pottery fragments.
b) small dab of mud
c) Box of ivory & wood inlaid in alternate rows on thick wood.
d) Large alab. kohl pot 69 diam., blue gl. lid
e) Small alab. kohl pot, lid to fit, height 45 mm
f) Broken alab. kohl pot lid.
g) Three v. large hollow bl. glaze beads.
h) Green gl. scarab 16 mm long.
j) V. small blue gl. Bes figure.
k) A date stone
l) Two bl. glaze beads
m) Piece of wood, prob. end of mirror handle
n) Wooden kohl-stick
o) Thick ivory bracelet
p) Fragments of leaves & 2 nuts
q) Fragments of leather.
","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22799561430"
65477,"in & at entrance of S. chamber
a. large masses of pottery fragments
b. small dabs of mud
c. box of ivory & wood inlaid in alternate rows on thick wood
d. large alab. kohl pot 6q diam, blue glaze lid
e. small alab. kohl pot, lid to fit, height 45 mm
f. broken alab. kohl pot lid
g. three v. large hollow bl. glaze beads
h. green gl. scarab 16 mm long
j. v. small blue gl Bes figure
k. A data stone
l. two bl. glaze beads
m. piece of wood, prob end of mirror handle
n. wooden kohl - stick
o. thick ivory bracelet
p. fragments of leaves & 2 nuts
g. fragments of leather ","","","n/a","n/a","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22799561430"
,,,,,,,,,
,,,,,,,,,
65478,"Cemetery: B
Tomb: B.12. (cont)
(r) 12 more vases [drawing]
(s) 5 good red ware basins
(t) 4 pink ware dishes with white paint
(u) Stucco fragment (painted)
(v) Pieces of cloth
(w) 12 vases [drawing], small, red ware, two with black rim
(x) Two round wooden objects, probably legs for the box.","","","Dec. 18th","","Seyid Aln Lêl","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22961565736"
65478,"Cemetery: B
Tomb: B.12 (cont)
r) 12 more vases
s) 5 good red ware basins
t) 4 pink ware dishes with white paint
u) Stucco fragment (painted)
v) Pieces of cloth
w) 12 vases, small, red ware, two with black rims
x) Two round wooden objects, probably legs for the box.","","","Dec. 18th.","","Seyid Abu Lel","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22961565736"
65478,"r. 12 more vases
s. 5 good red ware basins
t. 4 pink ware dishes with white paint
u. stucco fragment (painted)
v. pieces of cloth
w. 12 vases, small, red wine, two with black rim
x. two round wooden objects, probably lid[...] for the box ","","","18th December 1909-10","B. 12 cont","Seyid Abu Lel","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22961565736"
,,,,,,,,,
,,,,,,,,,
65479,"North Chamber 200 x 80 x 70 cm.
Two bodies, girl in coffin to West with 25 scarabs around her. Boy to East, skeleton badly disturbed, skull broken in corner. Two thigh bones of a man also. Large number of vases, in & outside chamber
(a) Twenty five scarabs, 22 in chamber
(b) Hollow bracelet of bronze
(c) Piece of a horn
(d) Alab. kohl vase & lid 61 mm. high, in chamb.
(e) Alab. vase [drawing] 80 mm.
(f) Grey stone kohl vase 27 mm. high.
(j) Small piece of lid for (c)
(k) Vases of earthenware [drawings] : 1 large vase, A; 2 large bowls B; 18 type C; 4 type D; 2 smaller basins","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22569235247"
65479,"North Chamber 200 x  80 x 70 cm:
Two bodies, girl in coffin to West with 25 scarabs around her. Boy to East, skeleton badly disturbed, skull broken in corner. Two thigh bones of a man also. Large number of vases, in & outside chamber.
a) Twenty-five scarabs. 22 in chamber.
b) Hollow bracelet of bronze.
c) Piece of a horn.
d) Alab. kohl vase & lid 61 mm high, in chamb.
e) Alab. vase, 80 mm.
f) Grey stone kohl vase 27 mm high.
j) Small piece of lid for e).
k) Vases of earthenware:
    1. large vase, A
     2. large [...] 13
     18 type C
      4 type D
       2 smaller basins


","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22569235247"
65479,"North chamber 200 x 80 x 70 xm
Two bodies, girl in coffin in to West with 25
scarabs around her. Boy to East
skeleton badly disturbed, skull broken in 
corner. Two thigh bones of a man also.
Large number of vases, in & outside chamber 
a. twenty five scarabs, 22 in chamber
b. hollow bracelet of bronze 
c. piece of a horn
d. alab. kohl vase & lid 61 mm high, in chamb.
e. alab. vase 80 mm
f. grey stone kohl vase 27 mm high
j. small piece of lid fro e.
k. vases of earthernware
1 large vase, A
2 large bowls B
18 type C
4 type D
2 smaller basins ","","","n/a","n/a","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22569235247"
,,,,,,,,,
,,,,,,,,,
65480,"Cemetery: B, near house
Tomb: B.13.
Plundered
Reectangular shaft beside B.12. Two chambers to N. one to S.
From just outside S. chamber [B.13.c, mark]
(a) Two large inscribed Ushabtis of stone [Drawing of inscription.]
(b) A yellow pebble
(c) Fragt. of black pottery vase
(d) Fragt. of sarcophagus. [D. over]
The shaft descended & there was a cutting in its east side just below the level of the lower chambers. (see over)
[Several small vases in top of shaft, six in all & two cakes of clay [drawings] marked B.13.d","","","Dec. 15th","","Seyid abu Lêl","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22569278338"
65480,"Cemetery: B, near house
Tomb: B.13
Rectangular shaft beside B.12.
Two chambers to N, one to S.
From just outside S chamber [B.13, c, mark]
a) Two large inscribed Ushabtis of stone  [Drawing of inscription]
b) A yellow pebble.
c) Frag't. of black pottery vase.
d) Frag't. of sarcophagus.
The shaft decrease & there was a cutting in its east side just below the level of the lower chambers. (see over)
[Several small vases in top of shaft, sic in all & two cakes of clay]
Marked B.13.d.","","","Dec. 15th.","","Seyid abu Lel","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22569278338"
65480,"Plundered.
Rectangular shaft beside B. 12
Two chambers to N. one to S.
from just outside S. chamber (B.13. c, [...])
a. two large inscribed ushabtis of stone
b. a yellow pebble
c. fragt. of black pottery vase
d. fragt. of sarcophagus
[in margin text: drawings of inscription 
D. over]
the shaft descended & there was a 
cutting in its east side just below
the level of the lower chambers 
(see over)
(Several small vases in top of shaft, 
six in all & two cakes of clay)
marked B. 13. d ","","","15 December 1909 - 10","B. 13","Seyid Abu Lel","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22569278338"
,,,,,,,,,
,,,,,,,,,
65481,"[drawing] yellow hieroglyphs on black ground.
In the East cutting a burial of a woman in a totally destroyed coffin of wood & painted stucco. Body on left side & extended. [Objects B.13.a]
(a) Alab. kohl vase & kohl stick under head
(b) Bl. glaze scarab above left wrist
(c) alab. vase with scalopped top at left hand
(d) Alab. vase at left ankle.
(e) Ear of stucco at head.
In the shaft just outside this burial, which was closed with large bricks were found [B.13.b]
(a) White incised vase in fragments
(b) Thin red ware bowl.
(c) Broken flask of white clay
(d) Fragments of rough vase with wavy line decoration
(e) Pieces of 4 other vases.
(f) An inlaid eye, & Amethyst beads.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22799583350"
65481,"Yellow hieroglyphs on black ground.
In the east cutting a burial of a woman in a totally destroyed coffin of wood & painted stucco. Body on left side & extended [Objects B.13.a]
a) Alab. kohl vase & kohl sick under head.
b) Bl. gl. scarab above left wrist.
c) Alab. vase with scalloped top at left hand.
d) Alab. vase at left ankle.
e) Ear of stucco at head.

In the shaft just outside this burial, which was [...] with large bricks were found [B.13.b]:
a) White incised vase in fragments.
b) Thin red ware bowl.
c) Broken Kush of white clay.
d) Fragments of rough vase with wavy line decoration.
e) Pieces of 4 other vases.
f) An inlaid eye, & 6 amethyst beads.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22799583350"
