"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
65395,"North Cemetery
[...] C. 1911-12
Abydos Dec. 1911.","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22799622160"
65395,"North Cemetery
Plot C. 1911-12
Abydos Dec. 1911","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22799622160"
65395,"North Cemetery. 
Plot C. 1911-12
Abydos Dec. 1911","reverseCard","There was no card number. There was no finder recorded. ","Abydos, 1911","n/a","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22799622160"
,,,,,,,,,
,,,,,,,,,
65396,"Tomb C.2
Date: Dec. 21
Turba 180 x 60
Body disturbed, remains of wood coffin.","","","","","M. 'Awad.","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22987668305"
65396,"Tomb: C2
Turba 180 x 60
Body disturbed, remains of wood coffin.","","No definition of measurements used.","Dec. 21","","M. Awad","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22987668305"
65396,"T[....] 180 x 60
body disturbed, remains of 
wood coffin. ","","","21 December 1911-12","C2","M. ' [...}","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22987668305"
,,,,,,,,,
,,,,,,,,,
65397,"","","","","","M. ""Awad","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22961625036"
65397,"Tomb: C3
Shaft with superstructure.
Glassware on top in radim.
White ushabti in shaft.","","","Dec. 21st.","","M. Awad","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22961625036"
65397,"Shaft with superstructure 
glass ware  on top in [...]
white ushabiti in shaft. 

","","In right margin texts says ""plan""","21 December 1911-12","C3 ","M. ' [...}","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22961625036"
,,,,,,,,,
,,,,,,,,,
65398,"Tomb C.5
Date: Dec. 21
Turba 220 x 70
Body in wood coffin, extended on back, head N-W.
[drawing]","","","","","'Aise","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22569296347"
65398,"Tomb: C.5
Turba 220 x 70
Body in wood coffin, extended on back, head N-W.","","Numerical without value.","Dec. 21","","Aise","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22569296347"
65398,"T[....] 220 x 70
Body in wood coffin, extended
on back       head N-W","","","21 December 1911-12","C5","'Gise","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22569296347"
,,,,,,,,,
,,,,,,,,,
65399,"Tomb: C6
Date: Dec. 21-22
Shaft with superstructure as shown in plan.
Two ch. to N & two to S.
Upper N.: Wooden kohl stick; Ivory kohl stick (?)
Upper S.: Broken Canopic jar lid head, limestone
Lower N.: Plaster eye from small mask.
Lower S.: Three vases drawn, one of them [...] top; Ushabti head; Sealing in mud of later Dyn scarab; Head rest of wood
Plan","","","","","Sirham","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22364900334"
65399,"Tomb: C6
Shaft with superstructure as shown in plan.
Tho. ch. to N & [...] to S.
Upper N :
Wooden kohl sitck
Ivory Kohl stick(?)
Upper S:
Broken Canopic jar lid head, limestone.
Lower N:
Plaster eye from small mask.
Lower S:
Three vases drawn, one of them [...] top.
Ushabti head.
Sealing on mud of [...] [...] scarab.
Head rest of wood.
","","","Dec. 21-22","","Sirhan","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22364900334"
65399,"Shaft with superstructure as 
show in plan 
Two ch. to N & two to S.
Upper N
Wooden [...] st[...]
Ivory        ""       ""   (?)
Upper S. 
Broken canopic jar lid head, limestone
Lower N
Plaser eye from small mask
Lower S 
Three vases drawn, are of the [...] top
ushabti head
Sealing  [..]   mud of  [..]   the scarab
head rest of wood ","","in right column text ""plan""","21-22 December 1911-12","C6","Sirhan","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22364900334"
,,,,,,,,,
,,,,,,,,,
