"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
65496,"Cemetery D.
Abydos 1912.","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22974317982"
65496,"Cemetery D
Abydos 1912.","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22974317982"
65496,"Cemetery D.
Abydos 1912","reverseCard","","n/a","n/","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22974317982"
,,,,,,,,,
,,,,,,,,,
65497,"Tomb: D.2.
Date: Jan. 5th
Dynasty XIIth
Turba, disturbed
Blue beads small rounded discoid.","","","","","Habbushe","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22961723826"
65497,"Tomb: D.2
Dynasty: XIIth
Turba, disturbed.
Blue beads, small rounded discoid.","","","Jan 5th.","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22961723826"
65497,"Dynasty XII
Tombs disturbed.
Blue beads small rounded discoloured. ","","","5 January 1911-12","D. 2","Hathborne","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22961723826"
,,,,,,,,,
,,,,,,,,,
65498,"Tomb: D.3.
Date: Jan 5th
Dynasty: XII
Shaft/ Sh. 285 x 60 x 220
Ch. to N & S empty.
S. Ch. 205; ht. 125; bth 45
N. Ch. 200; ht. 70; bth 40","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22998857111"
65498,"Tomb: D.3
Dynasty XIIth
Shaft: 285 x 60 x 220
Ch. to N & S empty.

                     Ht.    lth.
S ch.: 205 x 125 x 45
W ch.: 200 x 700 x 40
","","","Jan. 5th.","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22998857111"
65498,"Dynasty: XII
Shaft Sh. 285 x 60 x 220
Ch to N & S empty
                   Ht.    bth
S. ch. 205   125   45
N. ch 200    70     40","","","5 January 1911-12","D. 3","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22998857111"
,,,,,,,,,
,,,,,,,,,
65499,"Tomb: D.4.
Date: Jan 5th
Dynasty: XII
Turba/
Wood coffin, unshaped, disturbed. N.W - S.E.
Beads large & small blue [drawings] spherical of XIIth type","","","","","Sawâq","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22961723066"
65499,"Tomb: D.4
Turba
Wood coffin, unshaped, disturbed. NW - SE.
Beads, large & small blue, spherical of [...]th type.","","","Jan. 5th.","","Sawaq","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22961723066"
65499,"Dynasty: XII
Tomb
wood coffin, unshaped[?]
disturbed N-W - S.E.
Beads large & small blue
[....] of
[..] [...]
","","","5 January 1911-12","D. 4","Sawaq","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22961723066"
,,,,,,,,,
,,,,,,,,,
65500,"Tomb: D.5.
Date Jan 5th
Dynasty: XII
Shaft. 242 x 95 x 385
Ch. N. 260 x 60 x 240
Large light bl. gl. spherical beads.
2 rounded disc. carnel. [drawing]
3 white shell discoid
3 tubular light bl. gl.
Ch. S. 250 x 48 x 220","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22998855981"
65500,"Tomb: D.5
Shaft: 242 x 95 x 385
Ch. IV: 260 x 60 x 240
Large light bl. gl. appearance beads.
2 rounded disc. carnel.
3 white shell discoid.
3 tubular light bl. gl

Ch. S: 250 x 48 x 220.","","No measurement values noted.","Jan. 5th.","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22998855981"
65500,"Dynasty: XII
Shaft 242 x 95 x 385
Ch. IV. 260 x 60 x 240
Large bright bl. gl spherical 
beads
2 rounded disc carnel
3 white shell discold
3 tubular light bl. gl
ch. S 250 x 48 x 220","","","5 January 1911-12","D. 5","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22998855981"
,,,,,,,,,
,,,,,,,,,
65501,"Tomb: D.7.
Dynasty: XII
Shaft. 230 x 100 x 335
N. ch. 210 x 50 x 90. Wood coffin. male on l. side extd. Carnel. rounded discoid bead.
S. ch. 210 x 50 x 100
N. ch upper 210 x 40 x 70.","reverseCard","","Jan 7","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22569393347"
65501,"Tomb: D.7
Shaft: 230 x 100 x 335
N ch.: 210 x 50 x 90
Wood coffin, male on L side, extended. Carnel. rounded discoid bead.

S ch.: 210 x 50 x 100.

N ch. upp: 210 x 40 x 70.","","","Jan. 7.","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22569393347"
65501,"","","","7 January 1911-12","D. 7","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22569393347"
,,,,,,,,,
,,,,,,,,,
65502,"Tomb: D.8.
Dynasty: XII
Shaft/ 320 x 100 x 220.
N. ch. bricked up, empty. 210 x 40 x 80
S. ch. 220 x 50 x 100. empty.","reverseCard","","Jan 7.","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22569393047"
65502,"Tomb: D.8

Shaft: 320 x 100 x 220
N. ch.: bricked up, empty. 210 x 40 x 80
S. ch.: 220 x 50 x 100, empty.","","","Jan. 7","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22569393047"
65502,"Dynasty XII
Shaft 320 x 100 x 220
N. ch bricked up, empty
2[..]0 x 40 x 80
S. ch
220 x 50 x 100
empty ","","","7 January 1911-12","D. 8","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22569393047"
,,,,,,,,,
,,,,,,,,,
65503,"Tomb: D.12.
Dynasty: XII
Shaft/
S. ch. masdûd, plundered fr. above
Wood coffin male on l. side, exd.
Shaft 225 x 55 x 160
Ch. 152 x 50 x 85
head N.W.","","","Jan 5th","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22998854831"
65503,"Tomb: D.12
Shaft:
S ch. masdid, plundered [...] above. Wood coffin, male on L side, extended.
Shaft: 225 x 55 x 160
ch. 152 x 50 x 85
head IV . W.
","reverseCard","","Jan. 5th.","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22998854831"
65503,"Dynasty: XII
Shaft
S. ch mastaba, plundered up above
Wood coffin male on l. side [..]
shaft 225 x 55 x 160
Ch. 152 x 50 x 85
Head IV. W","","","5 January 1911-12","D. 12","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22998854831"
,,,,,,,,,
,,,,,,,,,
65504,"Tomb: D.13.
Dynasty: ? late
Turba
Shaped wood coffin
body ext. sup. head N.W
plundered
Female","","","Jan 7","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22569435608"
65504,"Tomb: D.13
Turba
Shaped wood coffin.
Body ext. sup. head NW.
Plundered [female symbol]
","","","Jan. 7","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22569435608"
65504,"?? late
Tomb
sh[...] now coffin
body es[..] [..] head N.W
plundered [symbol for male]
","","","7 January 1911-12","D. 13","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22569435608"
,,,,,,,,,
,,,,,,,,,
65505,"Tomb: D.14.
Dynasty: XII
Turba/
Head N. exd. on l. side
plain coffin
Small bl. gl. discoid beads.","","","Jan 7th","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22961720096"
65505,"","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22961720096"
