"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
65686,"E.1. Vaulted chamber, broken in above, disturbed
Mummy, head to S., in limestone sarcoph cloth painted with 4 genii.
Gilded clith breasts, anklet left leg & 2 armlets round left arm.
E.2. Long shaft below E.1.
one chamber to S. Rifled, male.
E.3. Vaulted chamber, Roman
9 mummies out of position, cartonnage fragments. Vases.
[Plan]
See plan","reverseCard","","Jan 17th","E.1, 2, 3","'Abd el Mejid","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23182499303"
65686,"Vaulted chamber, bricked in above, disturbed.
Mummy, head to S, in limestone sarcoph. cloth painted with 4 genii. 
Gilded cloth breasts, armlet left leg & 2 armlets round left arm.

E.2 Long shaft below E.1. One chamber to S. Rifled, male.

E.3 Vaulted chamber, Roman. 9 mummies out of position, cartonnage  fragments. Vases [drawing]. 
                                                       See Plan","reverseCard","","Jan. 17th","E.1, 2, 3","'Abd el Majd","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23182499303"
65686,"E. 1
vaulted chamber, broken in above, disturbed
mummy  head to S, in limestone sarcoph
cloth painted with [...]
gilded cloth beasts[?], amulet left leg
& 2 armlets round left arm

E.2 lay shaft below E.1
one chamber to S. rifled, male

E.3 vaulted chamber, Roman
9 mummies out of position 
cartonnage payments[?]
vases
SEE PLAN","reverseCard","","17 January 1908-9","E 1, 2, 3","'Abd el Mejid","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23182499303"
,,,,,,,,,
,,,,,,,,,
65687,"4. Prehistoric tomb, see over. Under floor of Roman vault.
Body plundered out, vases
left in position
5. Apparently cut into 4. No remains
[Drawings]","","","Jan. 21st","E.4, 5","Abd el Mejid","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23783367186"
65687,"Prehistoric tomb, see over. Under floor of Roman vault. 
Body plundered out, vases left in position.

5 apparently cut into 4. No remains.","","","Jan. 21st","E.4, 5","Abd el Majd","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23783367186"
65687,"Prehistoric tomb, see over. Under
floor of Roman vault.
Body plundered out, vases
left in position 
5 apparently out into 4. no remains.","","","21 January 1908-9","E. 4, 5 ","Abd el Mejid","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23783367186"
,,,,,,,,,
,,,,,,,,,
65688,"[Plan]
Size 137 x 73 depth 48
Smaller grave 105 x 75 x 25.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23700878842"
65688,"Size: 137 x 73  depth 48.
Small grave: 105 x 75 x 25.
","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23700878842"
65688,"NW
wavy handled jar
Size 137 x 73 depth 48
smaller grave 105 x 75 x 25","","","n/a","n/a","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23700878842"
,,,,,,,,,
,,,,,,,,,
65689,"Cemetery: South
6. Rect. shaft below vault E.2. Ch. to N. Empty exc. for a few bones.
8. Roman burial, woman supine, head to S, hands clasped.
9. Girl in wooden coffin as 8
10. Child in coffin, head S, cut off by shaft
2 bl. gl. [...] figures & mixed beads.","reverseCard","","Jan. 23rd","E.6, 8, 9, 10","'Abd el Mejid","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23701038062"
65689,"6. Rect. shaft below vault E.2. Ch. to N. Empty exc. for a few bones.

8. Roman burial, woman, supine, head to S, hands clasped.

9. Girl in wooden coffin as 8.

10. Child in coffin, head S, cut off by shaft. 2 R. gl. bast figures & mixed beads.
","","","Jan. 23rd","E.6, 8, 9, 10","'Abd el Majid","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23701038062"
