"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
66151,"Plundered.
Rectangular Shaft, clearly plundered, as the furniture is mainly in the shaft. Six vases and a few long beads of bl. glaze.
     Two chambers, N & S, apparently attacked from the next grave.
S. Many light green gl. Ushabti's & half of one of red clay with bl. & yellow paint.
Red mask, frag'ts of sarcophagus.
Vases, 4 (Drawn)
Lock of hair in plait.
Ivory spindle-whorl(?), diam. 35 cm.
Two more vases of type A, & one broken.","reverseCard","","Dec. 10th.","F.1(a)","Ahmed Yunis","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/23458297609"
66151,"Plundered
rectangular shaft, clearly plundered, 
as the furniture is mainly in the 
shaft. six vases 
drawn
and a few long beads of bl. glaze
Two chambers, N & S apparently 
attached[?] from the next grave
S. many ligh green gl ushabti's & half of 
one of red clay with bl. & yellow paint
Red mast, fragts of sarcophagus
vases, 4, white spotted 
drawn
lock of hair in plait
ivory spindly-whorl(?) diam 35 cm
two more vases of type A & one broken ","reverseCard","","10 December 1909 - 10","F. 1 a","Ahmed Yunis","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",1401,"https://www.flickr.com/photos/25459876@N04/23458297609"
66151,"Rectangular shaft, clearly plundered, as the furniture is mainly in the shaft. Six vases and a few long beads of bl. glaze.

2 chambers, W&S, apparently attacked from the next grave.

Many light green glaze ushapti and half of one of red clay with blue and yellow paint.

Red mask, plate of sarcophagus,

Vases, 4, white spotted.

Lock of hair in plait.

Ivory spindle- whorl (?), diam 3.5cm.

Two more vases of type A, & one broken.","reverseCard","","December 10th","F.1 (a)","Ahmed Yunis","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",1413,"https://www.flickr.com/photos/25459876@N04/23458297609"
,,,,,,,,,
,,,,,,,,,
66152,"This shaft had clearly been used to plunder several parallel graves as the S chamber runs to the SW through several others.

Broken vase, ht. 40 mm.
2 V. small mud vases.
Small stick of ivory, 48 mm.
Two bored shells.
Small pieces of gold foil.
Small bronze wire earring.
Blue glaze beads.
Long cylindrical bead of stone(?)
Bowl of pol'd red ware, diam. 156 mm.
Smaller & rougher bowl, diam. 92 mm.
Part of painted stucco face.
Three more vases, type A.
One vase, small.
One large vase of bowl type, diam 178 mm.
Two small basins.
Piece of cane.","","","","","","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/23199511853"
66152,"This shaft had clearly been used to plunder
several parallel graves as the S. chamber runs
to the S.W through several others.
Broken vase ht 40 mm
2 v. small mud vases 
Small stick of ivory 48 mm
two bored shells
small pieces of gold foil
small bronze wire earring
blue glaze beads
long cylindrical bead of stone (?)
bowl of pot.d red ware diam 156mm
smaller & rougher bowl diam 92mm
part of painted stucco face
three more vases type A
one vase small
one large vase of bowl type 178mm
two small basins 
piece of cane","reverseCard","","n/a","n/a","n/a","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",1401,"https://www.flickr.com/photos/25459876@N04/23199511853"
66152,"This shaft had clearly been used to plunder several parallel graves as the S. chamber runs to the S.W through several others.

Broken vase ht. 40mm.
2 v. small mud vases
Small stick of ivory 48mm
Two bone shells
Small pieces gold foil
Small bronze wire earrings
Blue glaze beads
Long cylindrical bead of stone (?)
Bowl of polished red ware, diam 156mm
Smaller and rougher bowl- diam 92mm
Part of painted stucco face
Three more vases type A
One more vase
One large vase of bowl type 178mm
Two small basins
Piece of cane","","","","","","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",1413,"https://www.flickr.com/photos/25459876@N04/23199511853"
,,,,,,,,,
,,,,,,,,,
66153,"North Chamber [F.1]
Two vases of type [...]
One vase, diam. 80 mm.
Alab, kohl vase, top diam. 49 mm.","","","Dec. 15th","F.1(b)","Ahmed 'Ali Yunis","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/23458367629"
66153,"plundered
North Chamber (F.1)
two vases of type 
one vase diam 80mm
alab. kohl vase top diam 49mm","","","15 December 1908-9","F. 1 b","Ahmed 'Ali Yunis","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",1401,"https://www.flickr.com/photos/25459876@N04/23458367629"
66153,"North chamber [F.1] 

Two vases of type
One vase, diam 80mm
Alabaster, kohl vase, diam 49mm","","","December 15th","F.1 (b)","Ahmed 'Lili' Yunis","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",1413,"https://www.flickr.com/photos/25459876@N04/23458367629"
,,,,,,,,,
,,,,,,,,,
66154,"Cemetery: F
Iron key, Roman.
Green glazed figure of god Shee (small) XXX
Green & yellow glazed figure of god Bes.
Bones & skulls of sheep, dogs.
Uninscribed limestone stela.
Bowl, Roman (2nd. type  XFI.XDI)
Small wooden bowl, Roman (1st. type [...] but 1¾"" only diam.)","","","Nov. 13.","1","","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/23199511223"
66154,"T[...] R[...] Roman
green glazed figure of god S[...] (small) XXX D
green & yellow glazed figure of god Bes [..]
bones & [...] of sheep, dogs
unsubscribed limestone stela
bowl roman (2nd type XFI XDI)
small wooden bowl Roman (1st type but [...] [..] [..])","reverseCard","","13 November 1908-9","F. 1","n/a","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",1401,"https://www.flickr.com/photos/25459876@N04/23199511223"
66154,"Iron peg. Roman
Green glazed figurine of god Shu (small) xxx
Green and yellow glazed figure of god Bes
[bones and skulls of sheep, dogs]
[uninscribed limestone stele]
Bowl, Roman, (2nd type on XFI XDI)
Small wooden bowl Roman (1st type about 1 3/4 inches only in diam)","","","November 13th","-1","","Amanda Ford Spora; Charlotte Ev; Susan Magyarody",1413,"https://www.flickr.com/photos/25459876@N04/23199511223"
,,,,,,,,,
,,,,,,,,,
66155,"A large mastaba on the edge of the cultivation later used as a Roman house at two successive periods. The chamber were probably originally vaulted but the upper part was so destroyed that nothing is certain. It may have been of the XXV-XXX dynasty.
Edwards R. Ayrton.","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23458366979"
66155,"A large mastaba on the edge of the [...]tioation later used as a Roman house at two successive periods. The chambers were probably originally vaulted but the upper part were so destroyed that nothing is certain. It may have been of the XXV-XXX dynasty.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23458366979"
66155,"A large mastaba on the edge of the cultivation [...]
used as a Roman house at two successive periods. the chamber
was probably originally vaulted but the upper past were so
destroyed that nothing is certain. It may have been of the 
XXV - XXX dynasty. ","","","n/a","n/a","Edward N. Reynton","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23458366979"
,,,,,,,,,
,,,,,,,,,
66156,"","","","Nov 15.","2.","[...] Ahmed.","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23198185414"
66156,"","","No descriptive information noted.","Nov. 15","2","[...] Ahmed","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23198185414"
66156,"n/a","","","15 November 1908-9","F. 2","[...] Ahmed","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23198185414"
,,,,,,,,,
,,,,,,,,,
66157,"Shaft some 6' deep x?x broken no chamber but gebel so broken in around that chamber may have collapsed.
Edward R. Ayrton.","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23198185114"
66157,"Shaft some 6' deep [insert: X?X?[...]] so chamber but gebel so broken in around that chamber may have collapsed.

Signed: Edward N. Ayrton","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23198185114"
66157,"shaft some 6' deep [...] as chamber but gebel
so broken in around that chamber [...] have 
collapsed. ","","","n/a","n/a","Edward N. Reynton","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23198185114"
,,,,,,,,,
,,,,,,,,,
66158,"Cemetery: F.
Cylindrical steatite bead.","","","Nov. 16.","3.","Shehat Ahmed.","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23743837551"
66158,"Cemetery F.
Cylindrical steatite bead.","","","Nov. 16","3","Shahat Ahmed","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23743837551"
66158,"Cylindrical steatite bead ","","","16 November 1908-9","F. 3","Shelahat Ahmed","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23743837551"
,,,,,,,,,
,,,,,,,,,
66159,"In a narrow grave in the gebel a long rectangular coffin containing a skeleton of an old woman. The coffin had apparently been carelessly lowered into the grave & the skeleton was crouched at one end. The coffin had been almost completely destroyed by white ants (?)
[plan]
The coffin measured 5' 11"" x 1' 9"".
A single cylindrical steatite bead was found under the neck bones.
diam 5 ft., below surface, of top of coffin.
Edward R. Ayrton.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23717921512"
66159,"In a narrow grave in the gebel a long rectangular coffin containing a skeleton of an old woman. The coffin had apparently been carelessly lowered into the grave & the skeleton was crouched at one end. The coffin had been almost completely destroyed by white ants(?)
The coffin measured 5'11"" x 1'9"".
A single cylindrical steatite bead was found under the neck bones.
[...] 5 ft., below surface, of top of coffin.

Signed: Edward N,. Ayrton","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23717921512"
