"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
66416,"Cemetery: Near older Shuneh & west of it
Plundered.
Deep trench, next to the unfinished grave G.O. parallel to edge of Shuneh (older)
In the radîm, two vases [drawing] and a bl. glaze ear-ring
no bones or sarcophagus found.
Plundered.
Also a large fluted bl. glaze bead, in the radîm, & a third vase [drawing]","reverseCard","","Dec. 9th","G.1.","Sawaq 'Awad","Michael George Adams; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23032776426"
66416,"Cemetery: near older Shumeh & west of it.

Deep trench, next to the unfinished grave. G.O. parallel to edge of shumeh (older). In the radim, two vases and a bl. glaze earring. No bones, a sarcophagus found. Plundered. Also a large flattened bl. glaze bead, in the radim, & a third vase.
","reverseCard","","Dec. 9th","G.1","Sawaq 'Awad","Michael George Adams; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23032776426"
66416,"Deep trench, next to the unfinished grave G.O. parallel to edge of Shunch (older). In the radim, two vases and a bl. glaze ear-ring. No bones a saicephagus found. Plundered. Also a large flated be. glaze bead, in the radim, & a third vase.","reverseCard","Some of the handwriting was difficult to decipher. I made my best possible judgement.","Dec 9th","G.1.","Sawaq 'Awad","Michael George Adams; Susan Magyarody; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/23032776426"
,,,,,,,,,
,,,,,,,,,
66417,"Cemetery: G.
XVIII Dyn.
1. 2 small white glass pendants [drawing] / Drawing D.1.
2. 4 small green glass pendants [drawing] / Drawing D.1.
3. 3 small green glass pendants [drawing] / Drawing D.1.
4. 5 small green glass beads [drawing] / Drawing D.1.
5. 2 small brown glass beads [drawing] / Drawing D.1.
6. 2 small beads, glass, double [drawing] / Drawing D.1.
7. Very rough broken lump of mud shaped like a vase [drawing] / Drawing D.1.
","","","Nov. 13.","G.1.","Aleyu Suleyman.","Michael George Adams; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22640431228"
66417,"1. 2 small white glass pendants.           D1
2. 4 small green glass pendants.           D1
3. 3 small green glass pendants.           D1
4. 5 small green glass beads.                D1
5. 2 small brown glass beads.               D1
6. 2 small beads, glass, double. Yellow, blue & white face.              D1
7. Very rough broken lump of mud shaped like a vase.                    D1
","","","Nov. 13","G.1","Abyu Suleyman","Michael George Adams; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22640431228"
66417,"2 small white glass pendants.
4 small green glass pendants.
3 small green glass pendants.
5 small green glass beads.
2 small brown glass beads.
2 small beads, glass, double. Yellow. blue & white face.
Very rough broken lump of mud 5 loped like a vase.","reverseCard","Some of the handwriting was difficult to decipher. I made my best possible judgement.","Nov. 13","XVIII Dyn.","Aliyu Juliyman.","Michael George Adams; Susan Magyarody; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22640431228"
,,,,,,,,,
,,,,,,,,,
66418,"Unplundered.
At the bottom of a rough pit in the desert a shallow trench in the gebel partially lined with brick and covered over with very large thick bricks (sundried.)
In this the body of a very small child (2 mos. old?) A few beads and pendants were found by sifting the sand.
[plan]
Edward R. Ayrton.","","","","","","Michael George Adams; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22640475917"
