"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
66427,"Cemetery: K.
XVIII dyn.
String of glass beads.
Small broken vase [drawing].
2 broken dishes [drawing].
2 fragts. green leather.
Wooden ear-plug covered + cloth. [drawing]","reverseCard","","Jan. 19.","1.","Obeyd","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22666602219"
66427,"1. String of glass beads.
2. Small broken vase.
3. 2 broken dishes.
4. 2 fragments green leather.
5. Wooden ear-plug covered + cloth.","reverseCard","","Jan. 19","K.1","Obeyd","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22666602219"
66427,"dynasty: XVIII
string of glass beads
small broken vase
2 broken [...]
2 fragts: green leather
wooden ear-plug covered + cloth ","reverseCard","","19 January 1908 - 9","K. 1","Abeyer","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22666602219"
,,,,,,,,,
,,,,,,,,,
66428,"On the E. edge of big tomb.
[plan]
[plan]
In a pit in the gebel a vault of bricks
The tomb was plundered through a hole in the roof. Skulls of a young woman & child. Objects in rubbish. Built of very large bricks coated, with mud.
Edward R. Ayrton.","reverseCard","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23045281892"
66428,"On the E side of big tomb.
In a pit in the gebel a vault of bricks. The tomb was plundered through a hole in the roof. Skulls of a young woman & child. Objects & rubbish. Built of very large bricks coated, with mud.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23045281892"
66428,"On the E. edge of big tomb
In a pit in the gebel a vault of bricks
The tomb was plundered through a hole in the 
roof. Skull of a young woman & child. Objects &
rubbish. Built of very large bricks coated, with mud. ","","","n/a","n/a","Edward N. Reynton","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23045281892"
,,,,,,,,,
,,,,,,,,,
66429,"Cemetery: Beyond gabbâna
Intact
Shallow trench, 50 cm deep containing childs body in small wooden coffin. Body supine, slightly on left side, head bent up.
N.W & S.E. face to W.
At the throat were
2 small blue glaze amulets
5 carnelian spherical beads
Many very small bl. glaze beads forming a single string.","","","Dec. 15th","K.1","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22640475588"
66429,"Shallow trench, 50 cm deep, containing child's body in small wooden coffin. Body supine, slightly on left side, head bent up.
NW & SE face to W.
At the throat were:
   2 small blue glaze amulets.
   5 carnelian spherical beads
   Many very small bl. glaze beads forming a single string.
","","","Dec. 15th","K.1","Beyard Gabbana","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22640475588"
66429,"shallow trench, 50 cm deep
containing child, body in small
wooden coffin. Body supine, slightly
on left side, head bend up
N.W & S.E frace to W.
At the throat were
2 small blue glaze amulets
5 carnelian spherical beads
many very small bl. glaze beads
forming a single string","","","15 December 1909 - 10","K. 1","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22640475588"
,,,,,,,,,
,,,,,,,,,
66430,"[drawing]
J.A.D.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22640474818"
66430,"","","Drawing of skeleton, no text.","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22640474818"
66430,"n/a","","drawing of burial initialed J.A.D","n/a","n/a","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22640474818"
,,,,,,,,,
,,,,,,,,,
66431,"Cemetery: K, beyond gabbâna
Roughly rectangular trench grave.
Body as over.
From filling
Six light green gl. amulets
2 carnelian beads
2 brown beads","","","Dec. 16th","K.2.","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22666599279"
66431,"Roughly rectangular trench grave.
Body as over.

From filling:
   Six light green gl. amulets.
   2 carnelian beads.
   2 brown beads.","","","Dec. 16th","K.2","Beyard Gabbana","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22666599279"
66431,"roughly rectangular trench grave
body as over
from filling 
six light green gl. amulets
2 carnelian beads
2 [...] beads ","","","16 December 1908- 9","K. 2","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22666599279"
,,,,,,,,,
,,,,,,,,,
66432,"[drawing]
J.A.D.","","","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22666598429"
66432,"","","Drawing only, no text.
","","","","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22666598429"
66432,"n/a","","drawing of skeleton initialed J.A.D","n/a","n/a","n/a","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22666598429"
,,,,,,,,,
,,,,,,,,,
66433,"Cemetery: K
Narrow rectangular shaft, four chambers two & two.
Only 4 beads from North lower.","","","Dec. 18th","K.3","Sawaq 'Awad","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23032816736"
66433,"Narrow rectangular shaft, four chambers, two & two.
Only 4 beads from North lower.","","","Dec. 18th","K.3","Sawaq 'Awad","Amanda Ford Spora; Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23032816736"
66433,"narrow rectangular shaft, four 
chambers two & two
only 4 beads from North lower ","","","18th December 1909-10","K. 3","Sawaq 'Airad","Amanda Ford Spora; Susan Magyarody; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23032816736"
,,,,,,,,,
,,,,,,,,,
66434,"Cemetery: K
K.4. Narrow rectangular shaft. One bl. glaze bead in top of shaft.
K.5. Narrow rect. shaft. 4 chambers
from lower S. chamber
(a) Few small blue beads
(b) Small mud (?) beads
(c) Carnelian hippopot. head
K.6. An unfinished shaft.","","","Dec. 18th","K.4. & 5 & 6","Ahmed Sirhan","Amanda Ford Spora; Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22437669703"
