"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
66781,"Cemetery: Beyond gabbâm
Tomb: L.1.
Date: Dec. 15th
Plundered
Rectangular shaft, narrow type.
Four chambers & north, 2 south.
All absolutely empty, except corner on South side which gave
1 large carnel. bead
8 small carnel. beads
Small bl. gmaze beads.
Two beads of bl. gl. from shaft.","reverseCard","","","","","Joanna Carroll; Amanda Ford Spora; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22436109754"
66781,"Plundered
Rectangular shaft, narrow type.
Four chambers 2 north, 2 south
All absolutely empty except 
corner on south side which gave
1 larger camel bead
8 small camel bead
small bl. glaze beads.

Tow beads of bl. gr. from shaft.","reverseCard","There was no name on the card. ","December 15th","L.1.","","Joanna Carroll; Amanda Ford Spora; Denis Antoine",1347,"https://www.flickr.com/photos/25459876@N04/22436109754"
66781,"Plundered
Rectangular shaft, narrow type.
Four chambers 2 north, 2 south
All absolutely empty, except 
[...] on South side which gave 
1 large carnel. bead
8 small    ""        ""
small bl. glaze beads

Two beads of bl. gl. from shaft. 
","reverseCard","","15 Dec 1909-10","L. 1","n/a","Joanna Carroll; Amanda Ford Spora; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22436109754"
,,,,,,,,,
,,,,,,,,,
66782,"Cemetery: L. beyond gabbâna
Tomb: L.2.
Date: Dec. 17th
Plundered
A very small rectangulat shallow trench, plundered out.
No body.
Few blue glaze beads in filling.","","","","","Ahmed Sirhan.","Joanna Carroll; Amanda Ford Spora; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22437694763"
66782,"Plundered
A very small rectangular shallow 
trench, plundered out.

No body.
Few blue glaze beads in filling.","","A section of this card was crossed off, and you are unable to read what was crossed off underneath.","December 17th","L.2.","Ahmed Sirham","Joanna Carroll; Amanda Ford Spora; Denis Antoine",1347,"https://www.flickr.com/photos/25459876@N04/22437694763"
66782,"Plundered
A very small rectangular shallow
trench, plundered out. 
[ crossed out text]
no body.
few blue glaze beads in filling","","","17th December 1909-10","L. 2","Ahmed Suilan","Joanna Carroll; Amanda Ford Spora; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22437694763"
,,,,,,,,,
,,,,,,,,,
