"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
61665,"Rectangular shaft, bricked above. 
Fine copper knife, broken, in the filling, 185 mm long.
Two lower chambers, N. collapsed. in South 2 wooden ears, a nut, bl. gl. bead, a vase, fragment of painted stucco, a very small vase 38mm diameter.
Two upper chambers are quite empty.","reverseCard","Noted as plundered.
Drawing of tomb. 
Objects noted as drawn.","Dec. 9th","O1 South of  Shaneh","Ahmed 'Aisa","Daniel Pett; Janet Levy",1,"https://www.flickr.com/photos/25459876@N04/22437745253"
61665,"Cemetery: South of Shuneh
Tomb: P. 1
Plundered.
Rectangular shaft, bricked above.
Fine copper knife, broken in the filling, 185 mm long.
Two lower chambers, N. collapsed.
in South, 2 wooden ears, a nut
bl. gl. beads
a vase
fragment of painted stucco.
2 v. small vase 38 mm diam.
The two upper chambers are quite empty.
[drawing] N. collapsed; section of shaft. S.
Photos or Drawings: Drawn.","reverseCard","","Dec. 9th","","Ahmed 'Uisa","Daniel Pett; Janet Levy",730,"https://www.flickr.com/photos/25459876@N04/22437745253"
61665,"Plundered.
1. Rectangular shaft, bricked above
2. fine copper knife, broken, in the 
3. filling, 185 mm long
4. Two lower chambers, N collapsed;
5. in sand 2 wooden ears, a nut
6. bl. gl. beads
7. a vase
8. fragements of painted stucco.
9. a small vase 38mm diam.
10.
11. The two upper chambers are quite
12. empty
13. N collapsed / Section of shaft / S ","reverseCard","","Dec. 9th.","O.1","Ahmed 'Aisa","Daniel Pett; Janet Levy",,"https://www.flickr.com/photos/25459876@N04/22437745253"
,,,,,,,,,
,,,,,,,,,
61666,"Rectangular shaft, NW - SE. Two chambers at level. One bl.gl. bead from N. Chamber.","","","December 13th ","O2 Cemetery D","Ahmed 'Aise","Daniel Pett; Janet Levy",1,"https://www.flickr.com/photos/25459876@N04/23045351842"
61666,"[Card title changed from 1908-9 to] ABYDOS, 1909-10
Cemetery: D
Tomb: 2 
Plundered.
Rectangular shaft, N.W. - S. E.
Two chambers at a level.
One bl. gl. bead from N. chamber","","On the Tomb: entry at the top, there is a D that is lined out in front of the 2. The top of the card is marked: O.","Dec. 13th","","Ahmed 'Aise","Daniel Pett; Janet Levy",730,"https://www.flickr.com/photos/25459876@N04/23045351842"
61666,"Plundered
1. Rectangular shaft, N.W - S.E.
2. Two chambers at a level
3. One bl. gl. bead from N. chamber","","","Dec. 13th. ","O.2.","Ahmed 'Aibe","Daniel Pett; Janet Levy",,"https://www.flickr.com/photos/25459876@N04/23045351842"
,,,,,,,,,
,,,,,,,,,
61667,"Plundered.
Rather deep rectangular shaft chamber N& S at same level.
North 
Three Vases
a) two high bowls
b) a small open dish Mark D3
White discoidal beads
South
Small open dish Mark D3S
White discoidal beads","reverseCard","","December 16th","O3","Ahmed 'Aise","Daniel Pett; Janet Levy; Van C. Vives",1,"https://www.flickr.com/photos/25459876@N04/22666671459"
61667,"Rather deep rectangular shaft [;] Chamber N. & S. at same level. [;] N. Three vases [;] (a) Two high bowls. [;] (b) A small open dish. [;] White discoidal beads.  Mark D.3. [;] S. Small open dish. Mark D.3.S. [;] White discoidal beads.","reverseCard","","Dec. 16, 1910","D.3.","Ahmed Aise","Daniel Pett; Janet Levy; Van C. Vives",717,"https://www.flickr.com/photos/25459876@N04/22666671459"
