"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
61670,"Rect. shaft chs. to N. See plan & day book.
Plundered in 1909 by guards.
Gold barne beads, ribbed [...]
Small red ring beads
Be-je amulets, eyes 3, animal & golden Roman glass bead
Piece of a [...] dark be-je ring (?)
Jan. 7
Five Ushabtis, red clay, black, red & yellow paint, four without [...], one smaller with. These from right chamber","reverseCard","","","","","Michael George Adams; Janet Levy; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23032921386"
61670,"Rect. shaft chs. to. Sec plan & day look. Plandered in 1909 by guards. Gold barnie beads, ribbed small red ring beads white disc beads. Re. jl. amulets, eyes 3, animal & golden Roman glass bead. Piece of a pom dark be. gc. ring (?) Jan 8.7 Five bshabtic, red clay, black, red & yellow paint, four without apron, one smaller with. Larger. Smaller. These from right chamber.  ","reverseCard","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","","P. 2","Abydos, 1911","Michael George Adams; Janet Levy; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/23032921386"
61670,"Rect. shaft chs. to N. Lee plan & day book. Plundered in 1909 by guards. gold barrel beads, ribbed. Small red ring beads. White disc beads. Be. jl. amulets, eyes 3, animal & goddess. Roman glass bead. Pieces of a Iron dark be. jl. ring (?).
Jan 7. Five Ushabtis, red clay, black, red & yellow paint, four without apron, one smaller with. [picture] Larger. [picture] smaller. These from right chamber.","reverseCard","I don't see any name in English form - only possibly in Arabic in upper left-hand corner. Date is missing. No card number. ","","","","Michael George Adams; Janet Levy; Denis Antoine",730,"https://www.flickr.com/photos/25459876@N04/23032921386"
,,,,,,,,,
,,,,,,,,,
61671,"Two dark bl. glass ball beads.
Four bronzes
Jan. 8
Alab. lid with 3 holes
Pink clay Ushab, red, black & yellow paint
Yellow ball bead
Two dark grey [...] bead,
Long cyl. be-je bead
3 gold ear-rings
Part of wooden cup
Parts of 2 head rests
Jan. 9th
Small be-je Bez amulet
Minute be-je scarab
Mixed beads, some late of glass
Rough ochre pot","","","Jan. 7, 8 & 9","","","Michael George Adams; Janet Levy; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23058971375"
61671,"Two dark bl. glass bale beads. Fom bronzes. Jan 8. Alab. lid with 3 holes. Pink clay ushab, red, black & yellow paint. Yellow bale bead. Two dark grey brianice beads. Lay Gl. bl-jl. bead. 3 gold ear-rings. Part of wooden cup. Parts of 2 head rects. Jan 9th. Small be.jl. Bez amulet. Minute bl. jl. scarab 3/1. Mixed beads, same late of glass. Rough schre pot.   ","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","","","","Michael George Adams; Janet Levy; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/23058971375"
61671,"Two dark bl. glass ball beads. Four bronzes. 
Jan. 8. Ulab. lid with 3 holes. Pink clay Ushab, red, black & yellow paint. Yellow hale bead. Two dark gray triconical beads. Long cyl. bl-gl. bead. 3 gold ear-rings. Part of wooden cup. Parts of 2 head rests. Jan. 9th. Small bl. gl. Bez amulet. Minute bl. gl. scarab. 3/1. Mixed beads, some late of glass. Rough ochre pot.","","I was unsure of the word ""triconical"" ","","","","Michael George Adams; Janet Levy; Denis Antoine",730,"https://www.flickr.com/photos/25459876@N04/23058971375"
,,,,,,,,,
,,,,,,,,,
61672,"Rect shaft see plean & day books. Found Half wooden female figure. X blab boure in shaft (lour). Top of shaft a supire head S. baince. Lower a coune & be gl. bendart 1/2. In ch. 2 bchier pot. loies, red ring. Piece of coffin. Pot varse. Piece of large jar. Plain ochre basin. Large jar fill of white sulst. Vases, are anthiopomabaric (female). 2.  ","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","","P.B","Abydos, 1911","Michael George Adams; Nadia Randle; Janet Levy",677,"https://www.flickr.com/photos/25459876@N04/22640568968"
