"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
66436,"Cemetery: South
Large square shaft. 2.90 x 2.90 m. depth 9 m. top well bricked
Stele in rubbish above shaft.
Also few bl. gl. beads, fragments & a broken Ushabti.
Fragts. of bl. gl. bowl & lid
Small cylindrical beads
Pair of horns, goat or ram.
Fragts. of v. late pottery.
Half a limestone figure, rough work, female with wig
The grave is clearly late & later still the shaft was filled up with fragments of mummies.
OVER.","reverseCard","","Dec. 26th","R.1.","Ahmed Sirhan","Michael George Adams; Amanda Ford Spora; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23062796985"
66436,"Large square shaft. 290 x 2.90m depth 9m. top wall bricked. Stele in rubbish above shaft. Also few bl. gl. beads, fragments & a broken ushabtia. Frags of bl. gl. bowl & lid. Small cylindrical beads. Pair of horns. goat or ram. Fragt. of v. late pottery. Half a limestone figure, rough wala. female with ibig. The grave is clearly late & later still the shaft was filled up with fragments of mummies. OVER. ","reverseCard","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Dec 26th.","R.1","Ahmed Sirhan","Michael George Adams; Amanda Ford Spora; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/23062796985"
66436,"large square shaft 2.90x 2.90m
depth 9m top wall bricked 
stela in rubbish above shaft 
also few bl. gl. beads, fragments & a broken ushabti
frag of bl. gl. bowl & lid
small cylindrical beads
pair of horns, goat or ram
fragt of v. late pottery
half a limestone frigure, rough ware
female with ring 
The grave is clearly late & later still 
the shaft was filled up with 
fragmetns of mummies 
OVER ","reverseCard","","26 december 1909-10","R. 1","Ahmed Sirhan","Michael George Adams; Amanda Ford Spora; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/23062796985"
,,,,,,,,,
,,,,,,,,,
66437,"Details of chamber
[plans]
Bricks measured 32 x 14 x 8 cm","","","","","","Michael George Adams; Amanda Ford Spora; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22440015204"
66437,"Details of chamber. Shaft. Section. Plan. Elevation bricks removed above AB. Bricks measured.","","","","","","Michael George Adams; Amanda Ford Spora; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22440015204"
66437,"details of chamber
plan
elevation bricks removed above AB
bricks measure 
32 x 14 x 8cm","","","n/a","n/a","n/a","Michael George Adams; Amanda Ford Spora; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22440015204"
,,,,,,,,,
,,,,,,,,,
66438,"Rectangular shaft. In top fragt. of stele, at bottom another fragment. / Over
Also 2 copper nails & piece of gold foil in shaft
First chamber on North side.","","","Jan 2nd","R.2.","","Michael George Adams; Amanda Ford Spora; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22440014854"
66438,"Rectangular shaft. In top fragt. of stele, at bottom another fragment. Also 2 copper nails & piece of gold toie in shaft. First chamber on North side. Over.","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Jan 2nd","R.2.","","Michael George Adams; Amanda Ford Spora; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22440014854"
66438,"Rectangular shaft. In top fragt of stela
at bottom another fragment
also 2 copper nails & piece of gold foil
in shaft
first chamber on north side ","","","2 January 1908-9","R. 2","n/a","Michael George Adams; Amanda Ford Spora; Denis Antoine",1401,"https://www.flickr.com/photos/25459876@N04/22440014854"
,,,,,,,,,
,,,,,,,,,
