"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
62098,"Cemetery: South
Tomb: T.1.
Rectangular shaft, leading at once on north through a round topped door into a barrel vaulted chamber.","reverseCard","","Jan. 6th","T.1.","Ahmed 'Ali","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22440069264"
62098,"Cemetery: South.
Rectangular shaft leading at once an north. through a round topped door into a barise -vaulted chamber.    ","reverseCard","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Jan 6th","T.1. ","Ahmed 'Ali","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22440069264"
,,,,,,,,,
,,,,,,,,,
62099,"Cemetery: South
Tomb: T.3.
Rect. shaft, chamber to south. N-S.
In shaft, well below burial A. (over)
(a) Nine vases of refined clay [drawings]
(b) Three pieces coral
(c) Alab. mortar & 2 pestles
(d) Two bl. gl. scarabs (over)
(e) Bronze hook & tweezers
(f) Gold earring.
(g) Bl. gl. & glass & shell beads ([shaft & chamber]
(h) 4 bl. gl. amulets
(i) 2 black amulets [chamber]
(j) Small alab. vase & lid [drawing]","","","Jan. 9th.","T.3.","Ahmed 'Ali Yunis","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23062849405"
62099,"Cemetery: South.
Rect. shaft, chamber to south. N-S.
In shaft, well below burial A. (over).
a. Nine vases of refined clay.
b. Three pieces cual.
c. Alab. mortar & 2 pestles.
d. Two bl.gl. scarabs (over).
e. Bronze hook & tweezers.
f. Gold earing.
g. Bl.jc. & glass & shell beads [shaft & chamber].
h. 4 bl.gl. amulets.
i. 2 black amulets [chamber].
j. Small alab. vase & lid. ","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Jan 9th.","T.3. ","Ahmed 'Ali Yanis.","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/23062849405"
,,,,,,,,,
,,,,,,,,,
62100,"Scarabs [drawings]
Burial A. in coffin high in shaft, head S.
In S. chamber several burials.
(a) A child with 7 bl. gl. amulets at neck
(b) Bronze vase
(c) Small buff clay vase wheel made
(d) Large pear shaped bead of rock crystal.
(e) Red pottery bowl [drawing]","","","","","","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23049254582"
62100,"Scarab.
Burial A. in coffin high in shaft, head S.

In S chamber several burials:
a) A child with 7 bl. gl. amulets at neck,
b) Bronze vase.
c) Small buff clay vase wheel made.
d) Large pear-shaped bead of [...] crystal.
e) Red pottery bowl.","reverseCard","","","","","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23049254582"
