"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
62066,"Tomb U.1.
Dynasty: Pre.
Pre Turba
Vases (1) B.22b; (2) B.22.f.
Stone vase (1) H.72.
Diorite mace-head, chipped under head of body. [drawing]
U is a predyn. cemet. near Umm il Qa 'âb
See cemet. Abydos II.
SEE OVER","reverseCard","","Feb. 7th-9th","U.1.","","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22440088094"
62066,"Pre taibu
SEE OVER.
Vaseo
1. B.22b.
2. B.22.f.
Stone vase
1. H.72.
Diorite maice-head, chipped 
under head of body.
U is a predyn. cemet. near Umm il 2a ab
See Cemet. Glyda. II","reverseCard","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Feb 7th-9th","U.1.","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22440088094"
,,,,,,,,,
,,,,,,,,,
62067,"[Plan]
Head direct south, remains in a rectangular space & rising a little to north. Mat over head still visible, no signs of coffin. Body completely disarticulated. Femora are with head north the other head south. Hip bones as figured are over the other & out of position. Coccyx & sacrum over one femur, some ribs & one large ankle bone over breast. Lower jaw attached to head but rather out of position. See Photo.","","","","","","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22440087774"
62067,"hip
hip
mare head under head.
avlile
stone vase
22f
22.b.
Head direct sarth, remains in a rectangular space & rising a little to north. Mat over head still visible, no signs of coffin. Body completely disarticulated. Femola are with head north the other head south. Hip lines as figured are over the other & out of position. Coccyx & sacrum over one femln, same ribs & are large anlale bone over heart. Lower jaw attached to head but rather out of position. See photo.   ","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","","","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22440087774"
,,,,,,,,,
,,,,,,,,,
62068,"Tomb (number): U.2.
Dynasty: Pre.
Small oval turba, no body left except a few bones.
Broken ivory vase
Flint rough
Piece of obsidian
Bl. gl.short cyl. beads.","","","Feb. 9","U.2.","","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23036826126"
62068,"Small oval tuber, no body left except a few bones.
Broken ivory vase.
Flint rough.
Piece of olsidian.
Bl.jl. short cyl. beads.","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Feb 9.","U.2. Dynasty: Pre.","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/23036826126"
,,,,,,,,,
,,,,,,,,,
62069,"Tomb (number): U.3.
Oval turba possibly intact.
[plan]
bones of animal
body on l. side, head south
Bones in bad state prob. some missing.
Mat over burial & pots","","","Feb. 9th","U.3.","","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22441661743"
62069,"Oval tuiba possibly intact.
P 686
B 22b
B 22b
G
bones of animal.
body a l.side head south.
6th. 1th
120 x 170.
dpth. 150.
Bones in bad state, pub. some missing. Mat over burial & pots.","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Feb 9th.","U.3. Dynasty: Pre.","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22441661743"
,,,,,,,,,
,,,,,,,,,
62070,"Tomb (number): U.4.
Dynasty: Pre.
A large jar upright in the sand.
No contents.
Photo.","reverseCard","","Feb. 9th.","U.4.","","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22670590779"
62070,"A large jar upright in the sand.
No contents.
Photo. 
","","","Feb 9th.","U.4. Dynasty: Pre.","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22670590779"
,,,,,,,,,
,,,,,,,,,
62071,"Tomb (number): U.7.
Dynasty: Pre.
Turba of uncertain size, plundered
[plan]
fragments of bone in coffin of ochre pottery. 114 x 53 x 28 curved out at ends.
A few beads in coffin
13 wood (?) [drawing] gold-foil covered
1 bl. gl.
4 pieces malachite
Photo","","","Feb. 10","U.7.","[arabic]","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23036824756"
62071,"Turba of uncertain size, plundered.
3.53b
B.53.b
S
Photo.
Fragments of bone in coffin of ochre pottery. 114 x 53 x 28 curved out at ends. A few beads in coffin.
13 wood (?) gold-toil covered.
1 be.je
4 pieces maluchite.","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Feb 10.","U.7. Dynasty: Pre.","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/23036824756"
,,,,,,,,,
,,,,,,,,,
62072,"Tomb (number): U.8.
Dynasty: Pre.
[plan]
150 x 100 x 120
head S.
Mat & skin under it
Ph.","","","Feb. 12.","U.8.","[arabic]","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23049280932"
62072,"","","","Feb 12.","","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/23049280932"
,,,,,,,,,
,,,,,,,,,
62073,"Tomb (number): U.9.
Dynasty: Pre.
[plan]
Mat over body
head turned face up
legs || to spine","","","Feb. 12th","U.9.","[arabic]","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22670598499"
62073,"Dynasty: Pre.
Mat sun body.
S.
B.22.b
oi
head turned face up. 
Rys II to spine.","reverseCard","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Feb 12th","U.9.","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22670598499"
,,,,,,,,,
,,,,,,,,,
62074,"Tomb (number): U.10.
Pre-dyn
[plan]
1. Frags
2. Frags of B11f
3. B35d
4. B75a
5. B74a
Male body in wooden coffin. Ox ribs in front of coffin. Malachite & pebble in front of face. Head to S. Bits of cloth.","","","Feb. 12th.","U.10","","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22441669233"
62074,"Dynasty: Pre-dyr
1. Frags
2. Frags of BIIf
3. B35d
4. B75a
5. B74a
Male body in wooden coffin. Ox ribs in front of coffin. Malackite & pebble in front of face. Head to S. Bits of cloth. 
","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Feb 12th","U.10","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22441669233"
,,,,,,,,,
,,,,,,,,,
62075,"Tomb (number): U.11.
Pre-dyn
[plan]
1. P66
2. B29a
3. B22b
4. P1a
5. B19a
6. B19a
7. P17
Large roughly oval turba, 150 cms deep, Male body covered with a reed mat. In front of face were two rough mud figures","reverseCard","","Feb. 12th.","U.11","","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22441668833"
62075,"Dynasty: Pre-dyr.
1. P66
2. B29a
3. B22b
4. P1a
5. B19a
6. B19a
7. P17.
S
xx nud figures.
Large roughly oval Turba, 150 cms deep. Male body covered with a reed mat. In front of face were two rough mud figures. 

","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Feb 12th","U.11","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22441668833"
,,,,,,,,,
,,,,,,,,,
62076,"Tomb (number): U.12.
Pre-dyn.
Disturbed turba, only leg bones remained. Head had originally been S.
1 Bowl: B11e","","","Feb. 12th","U.12","","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23036832456"
62076,"Dynasty: Pre.dyn.
Disturbed turba. Only leg bones remained. Head had originally been S. , Bowl B11e. ","","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Feb. 12th","U.12","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/23036832456"
,,,,,,,,,
,,,,,,,,,
62077,"Tomb (number): U.13.
Dynasty: Pre
[plan]
150 x 110 x 140
Child
Body in
(1) Cloth
(2) Skin
(3) Mat
(4) Reeds
{1. B.1.a
2. B.22.f} (1) invertes over 2
3. B.27.d with cross line!!
4. B.18.d (turn out horiz. rim)
5. B.22.f.
6. F.96.b.
7. Necklace of beads, see over
8. Ivory ring
9. Malachite
Piece of ivory pin in [...]
Photo","reverseCard","","Feb. 13th","U.13","[arabic]","Michael George Adams; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22644524537"
62077,"Dynasty: Pre.
S
Photo
150 x 110 x 140
Chils
Body in 
1. Cecth
2. Skin
3. Mat
4. Reeds
1. B.1.a 
2. B.22.f} 1. Iniertes over 2.
3. B.27.d with cross line !!
4. B.18.d (twm cut horiy rim)
5. B.22.f.
6. F. 96.b.
7. Necklace of beads, see over
8. Ivory ring
9. Malachita
Piece of ivory pin in sleie   
","reverseCard","Some of the handwriting was difficult to decipher. I made my best possible judgement. ","Feb 13th","U. 13","","Michael George Adams; Denis Antoine",677,"https://www.flickr.com/photos/25459876@N04/22644524537"
,,,,,,,,,
,,,,,,,,,
