"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
62039,"Surface burial in oblong wooden coffin.
Body supine, hands placed above the pelvis, head pointing NW.","reverseCard","","Dec. 28th","W.1.","Sowâg","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23036861906"
62039,"Surface burial in oblong wooden coffin. Body supine, hands placed above the pelvis, head pointing NW.","reverseCard","","Dec. 28th.","W.1","Sowâg","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23036861906"
,,,,,,,,,
,,,,,,,,,
62040,"Rect. shaft. Brick lined down to hard gebel. Chs. to N & to S. Plundered.
In shaft: Wooden hand fr. coffin, 4 bl. gl. fly amulets, Small discoid bl. gl. beads, Small bone disc.
In N chamber: poor bl. gl. scarab, Alab. kohl pot (no necl), Rough flint, Bone disc (as in shaft), Piece of flat alab. vase, Half of haematite kohl stick, 2 wooden kohl sticks, Wooden comb (poor condition), Copper callipers, Wooden Shabti similar to sev. found near a damaged burial near the shaft.","","","Dec. 28.","W.2","Sawâg","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23062900955"
62040,"Rect. shaft. Brick-lined down to hard gebel. Chs. to N & to S. Plundered.
In shaft:
     Wooden hand fr. coffin.
     4 bl. gl. fly amulets.
     Small discoid bl. gl. beads.
     Small bone disc.

In N chamber:
     Poor bl. gl. scarab.
     Alab. kohl pot (no neck)
     Rough flint.
     Bone disc (as in shaft).
     Piece of flat alab. vase.
     Half of [...]etite kohl stick.
     2 wooden kohl sticks.
    Wooden comb (poor condit.)
     Copper calipers.
     Wooden shabti similar to sev. found near a damaged burial near the shaft.","","","Dec. 28th.","S.2","Sawâq","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23062900955"
,,,,,,,,,
,,,,,,,,,
62041,"Small mud stoppers (12), Pottery group, Wood head rest.
In South chamber: Necklace of bl. gl. flies & beads, Piece bone inlay with [drawing], Copper callipers, Bl. Glass beads [drawing], Bl. gl. beads [drawing], Bl. gl. spindle [drawing], Piece of ivory bracelet, Carnel bead.
On top of shaft: Haematite kohl stick.
Shaft N.W-S.E.: 232 x 90 inside, Walls 30 thick, Bricking to 2.10 broken at top, Depth 4.15, Ledge of .10 a end of brick.","","Reverse of card W.2?","","","","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23036861186"
62041,"     Small mud stoppers.
     Pottery gra[...]
     Wooden headrest.

In south chamber:
     Necklace of bl. gl. flies & beads.
     Piece bone inlay with [dotted circle]
     Copper calipers.
     Bl. gl. bead.
     Bl. gl. beads.
     Bl. gl. spindle.
     Piece of ivory bracelet.
     Camel. bead.

On top of shaft:
     Haematite kohl stick.

Shaft: NW-SE:
     232 X 90 inside.
     Walls 30 thick
     Bricking to 2.10 broken at top.
     Depth 4.15
     Ledge of .10 a end of brick.","","Measurements given without units.","","","","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23036861186"
,,,,,,,,,
,,,,,,,,,
62042,"Rect. shaft. ch. to N & S. 
Deposits burnt by fire in shaft.
S. chamber: Wood hand, Piece bone inlay with [drawing], 2 dôm nuts, 3 figs, Alab. vase, Lid of another, Copper mirror & copper handle, Worked shell conus, Piece of stucko with gold leaf, Pottery, Rough ring of mother of pearl.
N. chamber: Pieces of 2 alab. Pepi jars, lid for one, Ivory wand shape of arm, Pieces of bone inlay as above, [...] knob in piece of bone, Large ivory (?) fly.","","","Dec. 29th","W.3.","Sawag","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22670624199"
62042,"Rect. shaft. ch. to N & S. Deposits burnt by fire in shaft.
S. chamber:
     Wood hand.
     Piece bone inlay with [dotted circle]
     2 dôm nuts
     3 figs.
     Alab. vase.
     Lid of another.
     Copper mirror & copper handle.
     Worked shell conus
     Piece of stucco with gold leaf.
     Pottery.
     Rough ring of mother of pearl.

N. chamber:
     Pieces of 2 alab. Pepi jars, lid for one.
     Ivory wand shape of arm.
     Pieces of bone inlay as above.
     Bone knob in piece of [...]
     Large ivory(?) fly.","reverseCard","","Dec. 29th.","W.3","Sawaq","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22670624199"
,,,,,,,,,
,,,,,,,,,
62043,"Shaft NW & SE
276 x 125 inside
Walls 46 thick.","","","","","","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22644493948"
62043,"Shaft NW & SE

276 X 125 inside.
Walls  46 thick.","","No measurement units written.","","","","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22644493948"
,,,,,,,,,
,,,,,,,,,
62044,"","","","Dec. 30th","","Sawag","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23074071811"
62044,"Surface burial in shaped wooden coffin, supine, hands resting on the legs, head pointing SSE.","","","Dec. 30th.","W4","Sawaq","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23074071811"
,,,,,,,,,
,,,,,,,,,
62045,"Rect. shaft. Brick lined down to hard gebel
Shaft NW & SE. 278 x 97
Walls 45 thick.
Chamber at either end, badly plundered.
Pottery group.
In N chamber: Fragment of blue glazed bowl [drawing], Large numbers of very coarse mud whitened shabtis, Wooden beard.
In S chamber: Alabaster kohl pot [drawing], small stone vase [drawing], Blue glazed eye inlaid, one circular & one cylindrical bead, 1 shell bead, a large quantity of small rough shabtis showing traces of blue glaze.","","","Dec. 30th","W5","Sawag","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22670618509"
