"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
62005,"Cemetery: XII Dyn.
Tomb. X.1 & 2
Rect. shaft in a rect. enclosure
N. Chamber broken into next
Many small plain Ushabtin, Fragt. of inlaid eye, Pieces  & limest. Canopic jar, Vaes (fr. this & broken chamber) [drawings]
S Chamber empty","reverseCard","","Dec. 15th 1910.","","Kassâr","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22440157904"
62005,"1. Rect. shaft in a rect. enclosure.
2. N chamber broken into next.
3. Many small plain Ushabtis. 
4. Fragment of inlaid eye.
5. Pieces & limestone Canopic jar.
6. Vases (in this & broken chamber) [drawing of 5 vases]
7. S chamber empty.","reverseCard","","Dec. 15th, 1910.","X 1 & 2","Kassâr","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22440157904"
,,,,,,,,,
,,,,,,,,,
62006,"X.2. Rect. wooden coffin under level of [...] in X.1.
Body supine head of [female] aged to left.
No finds.
head West.
[drawing]","","","","","","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22441732533"
62006,"Rect. wooden coffin under level of dalsher (sic) in X.1
Body supine head of male aged to left.
No finds.
Head west,","","","","X.2","","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22441732533"
,,,,,,,,,
,,,,,,,,,
62007,"Tomb X.3
Rect. shaft.
Fragt. of white spot ware in shaft.
Stuc[...] coffin, blue signs with black outline. Name erased & another substituted*. See tracing & copy
Pottery.
*Cf also 1909-10 Z.2 for similar coffin & same title","","","Dec. 15th.","","Sirham","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22644530938"
62007,"Rect. shaft.
Frag;s of white pot were in shaft.
Stuccoed coffin, blue [...] with black outline. Name erased & another substituted.*

Pottery.

*Cf. also 1909-10 Z.2 for smilar coffin & same title.","reverseCard","","Dec. 15th.","X.3","Sirhan","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22644530938"
,,,,,,,,,
,,,,,,,,,
62008,"[drawings]","","","","","","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22440156484"
62008,"","","Drawings of 8 different vases, bowls and receptacles.","","","","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22440156484"
,,,,,,,,,
,,,,,,,,,
62009,"Tomb X.4
Rect. shaft N-S.
Chmaber
(a) Painted stucco coffin.
(b) Pottery [drawing] 4 holes
(c) Bronze needke & fish hooks these in top radïm","","","Dec. 15th","","M. 'Awad","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22644530228"
62009,"Rect. shaft. N-S
Chamber:
a) Painted stucco coffin.
b) Pottery [drawing of vase with 4 holes]
c) Bronze needle & fish-[...], these in top radim.","","","Dec. 15th.","X.4","M. Awad","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22644530228"
,,,,,,,,,
,,,,,,,,,
62010,"Tomb X.5
Rect. shaft.
North ch.
Soul house with steps, Wooden hairpin, Small alab. k. pot, 2 long pink beads [drawing], Horn bracelet, Vases [drawings], 2 long blue beads as above
IX-XI","","","Dec. 14th.","","Sawag","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22644586057"
62010,"Rect. shaft.
North ch.:
     Soul house with steps.
     Wooden hairpin.
     Small alab. k. pot.
     2 long pink beads.
     Horn bracelet.
     Vases. [drawing of 3 vases]
    2 long blue beads as above.



1X-X1","","","Dec. 14th.","X.5","Sawaq","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22644586057"
,,,,,,,,,
,,,,,,,,,
62011,"Tomb X.6.
Rect. shaft.
North chamber
(a)Small blue paste bead
(b) fragt. of shell
South chamber
2 vases [drawings]","reverseCard","","Dec. 14th","X.6.","'Aisa","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22670657629"
62011,"Rect. shaft.
North chamber:
     a) small blue paste bead.
     b) Frag. of shell

South Chamber:
     2 vases [drawing of 2 vases]","","","Dec. 14th.","X.6","Aisa","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22670657629"
,,,,,,,,,
,,,,,,,,,
62012,"Tomb X.7.
Rect. shaft.","","","Dec. 15.","X.7.","'A. Sharayif","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/23049338912"
62012,"Rect. shaft.","","","Dec. 15th.","X.7","A. Sharaqif","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/23049338912"
,,,,,,,,,
,,,,,,,,,
62013,"Rect. Shaft
North Chamber.: Half steat[...] figne. white clay., Small discoid white beads, One small pot [drawing].
South Chamber: Small pot [drawing].
9 [...] Ground
Rect. shaft. Two chambers, empty.
Stone with neb signs, [drawing] rough, [drawing] red pol.","","","Dec. 14","X.8.9.","'Abd el Waris","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22441729653"
62013,"Rect. shaft.
north Chamber:
     Half steatite fig. of white clay.
     Small discoid white beads.
     One small pot. [drawing of pot]

South Chamber:
    Small pot. [drawing of pot]

M'Ar[...]
Rect. shaft.
Two chambers empty.
Stone with neb signs.
[drawing of 2 pots, 1 rough, 1 red pot]
","","","Dec. 14th.","X.8.9","Abu el Waris","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22441729653"
,,,,,,,,,
,,,,,,,,,
62014,"Tomb: X.10-11.12
10. Rect. shaft.
Body in shaft.
Female, on back legs crossed, clasping body of small boy at left side.
3 bronze rings, 4 bl. gl. beads, piece of dull blue glaze plaque.
Collapse of gebel disturbed remains.
11. Rect. shaft
Both shafts abandoned as dangerous. Dec. 19th.

12. [arabic] Rect. shaft.
in shaft v. small discoid blue gl. beads, nut & 2 pieces of wood.
S. chamber, Alab. kohl pot [drawing].","reverseCard","","Dec. 16th.","X.10-11.12","M. 'Awad","Susan Magyarody; Denis Antoine",580,"https://www.flickr.com/photos/25459876@N04/22644528088"
62014,"","","","","","M. Awad","Susan Magyarody; Denis Antoine",658,"https://www.flickr.com/photos/25459876@N04/22644528088"
,,,,,,,,,
,,,,,,,,,
