"taskID","description","reverseCard","comments","discoveryDate","cardNumber","excavatorName","inputBy","userID","imageURL"
61687,"Sorr[...]
& wrba Head SW. Body (mal) set [...] in round wood coff. with coloured stucco. Body poorly wrapped in cloth -
at neck: a) [...] eye
b) Dosh. bl. gl. Bez
c) Light gr. gl. crocodile.","reverseCard","","","Yi","","Nadia Randle; Janet Levy; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/22670672619"
61687,"turba Head SW. Body set
Sub round wood Coff.
mk colored stucco
Body porbly wrapped in cloth
at neck a) Carnel. Eye.
b) Dark bl gl. Bez
c) Light g & gl crocodile","reverseCard","Not sure of some of the words - just put what it looked like.
For the card number, there is an X lined out in front of the Yi.","","Yi","Somaj","Nadia Randle; Janet Levy; Susan Magyarody",730,"https://www.flickr.com/photos/25459876@N04/22670672619"
61687,"+ with Head SW. Body 
Set in round ... ... with coloured stucco.
Body parts wrapped in cloth  -
at neck a) lornal (symbol)
b) Dosh bl gl. Bey
c) Lishi g & ge crocodile.","reverseCard","various illustrated symbols on this card noting the position of the body which can't be rendered by qwerty key board! ","","Y i","Sonay","Nadia Randle; Janet Levy; Susan Magyarody",1199,"https://www.flickr.com/photos/25459876@N04/22670672619"
,,,,,,,,,
,,,,,,,,,
61688,"Shallow burial of a child in shaped wooden coffin.
Body n[...], heading pointing E, hands placed over the pelvis, lying on the neck & chest were:
Cowries
Several degraded Bes amulets
Blue beads
A flat disk of shell, bored in the centre
An imc[...] of the name in composition
small square metal amulet

Round the wrist an ""utat"" in blue glaze.
Around each ankle a string of small blue beads.
","","","","Y2","Sobwag","Nadia Randle; Janet Levy; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/22644600127"
61688,"Shallow burial of a child in shaped wooden coffin.
Body supine, heading pointing SE, hands placed over the pelvis, lying on the neck & chest were
Couries
Several degraded Bes amulets
Blue beads
A flat disk of shell, bored in the centre
an imitation of the same in composition
small square metal amulet.
Round the wrist an utat in blue glaze
around each ankle a string of small blue beads","reverseCard","","","Y2","Sobwag","Nadia Randle; Janet Levy; Susan Magyarody",730,"https://www.flickr.com/photos/25459876@N04/22644600127"
61688,"Shallow burial of a child in shaped wooden coffin. 
Body supine, heading pointing S(crossed out) E,
hands placed over the pelvis, lying on the neck and chest were
Cowries
Several degraded Bes amulets
Blue beads
a flat disk of shell, bored in the centre
an imitation of the same in composition 
small square metal amulet.

Round the wrist an ""intat"" in blue glaze and round each ankle a string of small blue beads. ","","","","Y 2","Sobwag","Nadia Randle; Janet Levy; Susan Magyarody",1199,"https://www.flickr.com/photos/25459876@N04/22644600127"
,,,,,,,,,
,,,,,,,,,
61689,"Shallow burial in shaped wooden coffin. Body nefonic (sic), hands placed over the pelvis, head placed NE.
Traces of cloth on the body.","","","","Y3","Umbarak","Nadia Randle; Janet Levy; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/23062949125"
61689,"Shallow burial in shaped wooden coffin. Body supine, hands place over the pelvis, head placed NE. Traces of cloth on the body.","","","","Y3","Umbarak","Nadia Randle; Janet Levy; Susan Magyarody",730,"https://www.flickr.com/photos/25459876@N04/23062949125"
61689,"Shallow burial in shaped wooden coffin. Body supine, hands placed over the pelvis, head placed NE.

Traces of cloth on the body.","","","","Y 3","Imbarack","Nadia Randle; Janet Levy; Susan Magyarody",1199,"https://www.flickr.com/photos/25459876@N04/23062949125"
,,,,,,,,,
,,,,,,,,,
61690,"About 2' below X3 an oblong wooden coffin, body supine, head at opposition.
Head of coffin pointing NW.","","","","Y4","Umbarak","Nadia Randle; Janet Levy; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/22441744183"
61690,"About 2' below X3 & a short distance away, was an oblong wooden coffin, body supine, head out of position.
Head of coffin pointing N W.","","","","Y4","Umbarrak","Nadia Randle; Janet Levy; Susan Magyarody",730,"https://www.flickr.com/photos/25459876@N04/22441744183"
61690,"About 2' below X3 and a short distance away was an oblong wooden coffin, body supine, head out of position. 
Head of coffin pointing NW. ","","It is possible that as the numbers on these cards in the top right corner have changed from X to Y, the comments on this card about this objects relation to that of X3 may in fact be related to Y3. I have kept the transcription as is. You will know best if it should be changed or not. ","","Y4","Imbarrack","Nadia Randle; Janet Levy; Susan Magyarody",1199,"https://www.flickr.com/photos/25459876@N04/22441744183"
,,,,,,,,,
,,,,,,,,,
61691,"Shallow burial placed just outside a mastaba shaft. Body extended & lying on its' left side. Wooden coffin. Traces of cloth on the body. Hair done in small plaits, like the Omdurman women of the present day. Round the neck an amulet & two carnelian beads. Head pointing NW.","","","","Y5","A. Esa","Nadia Randle; Janet Levy; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/22441743903"
61691,"Shallow burial placed just outside a Mastaba shaft. Body extended & lying on its left side. Wooden coffin. Traces of cloth on the body. Hair done in small plaits, like the Omdurman women of the present day. Round neck an amulet & two carnelian beads. Head pointing NW.","","There is something between the words Round and neck - maybe Round the neck?","","Y5","A. Esa","Nadia Randle; Janet Levy; Susan Magyarody",730,"https://www.flickr.com/photos/25459876@N04/22441743903"
61691,"Shallow burial places just outside a  mastaba shaft. Body extended and lying on its left side. Wooden coffin. Traces of cloth on the body. Hair done in small plaits, like the Omdurman women of the present day. Round the neck an amulet  and two carnelian beads. 
Head pointing NW. ","","Diagram on card that can't be transcribed here. Really interesting comparison with 'modern'  female hairstyles! ","","Y 5","A. Esa","Nadia Randle; Janet Levy; Susan Magyarody",1199,"https://www.flickr.com/photos/25459876@N04/22441743903"
,,,,,,,,,
,,,,,,,,,
61692,"Late Dynastic vault, Double in construction with 2 separate ban[...] vaults under a single circular top, probably pyramidal (truncated?) originally. Each vault has a separate shaft at its south end. The W. shaft was cleared by Garstany. 
The E vault is broken in above. In it were found:
    Few poor light bl. gl. shabti's.
    Wooden hawk seated, paint worn off.
    Wooden model mummy, roughly covered with bitumen.
    Wooden & stucco f[...] & feather
    Parts of a fringe of hair
    Piece of a large shell.","","","Dec. 24-29","Y7","Kassâr","Nadia Randle; Janet Levy; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/22441743573"
61692,"Late dynastic vault. Double in construction with 2 separate barrel vaults under a single circular top probably pyramidal (truncated?) originally. 
Each vault has a separate shaft at its south end. The W. shaft was cleared by Garstans. The E vault is broken in above. In it was found.
Few poor light bl. gl. shabtis.
Wooden hawk seated. paint worn off.
Wooden model mummy, roughly covered with bitumen.
Wooden & stucco face & feather.
Parts of a fringe of hair.
Piece of a large shell.
","","There is a diagram of the tomb marked with cardinal directions.","Dec 24 - 29","Y7","Kassar","Nadia Randle; Janet Levy; Susan Magyarody",730,"https://www.flickr.com/photos/25459876@N04/22441743573"
61692,"Late Dynastic vault. Double in construction with 2 separate barrel vaults under a single circular top, probably pyramidal (truncated?) originally. Each vault has a separate shaft at its south end. The W. shaft was cleared by Garastang.

The E vault is broken in above. In it were found. 
Few poa light be. fe. shabtis
Wooden hawk seated, paint worn off.
Wooden model mummy, roughly covered with bitumen.
Wooden and stucco face and feather
Parts of a fringe of hair
Piece of a large shell ","","There are important illustrations on this card that help with understanding the location of the objects found in the tomb and the construction of the tomb itself. I can't do these myself. ","December 24th to 29th","Y.7.","Kassan","Nadia Randle; Janet Levy; Susan Magyarody",1199,"https://www.flickr.com/photos/25459876@N04/22441743573"
,,,,,,,,,
,,,,,,,,,
61693,"Pieces of wood coffin with bea[...] hieroglyphs in yellow.
     Two pieces gale[...]
     Blue gl. & yellow gl. cyl.. beads
     Bl. gl. discoid beads.
     Piece gold foil.
Dec. 29  Another wood & stucco hau[...] with feather
     Large wood feather
     Set of smaller bl. gl. shabti's
     Piece of wood with 2 copper(?) rivets.
The tomb is now seen to consist of 3 vaults under one top. The one new [...] is the central. 
    Couns. tooth
    Flat red tile (or part of coffin)

Jan. 1
In the central vault there is one coffin in position at the SW corner. Fine carved coffin of good wood, partly inscribed (on next card). Body mummified with bitumen.","","","","","","Nadia Randle; Janet Levy; Susan Magyarody",658,"https://www.flickr.com/photos/25459876@N04/22644542508"
61693,"Pieces of wood coffin with black hieroglyphs in yellow.
Two pieces galena.
Blue gl. large sperical beads.
Bl. gl. discoid beads.
Piece gold foil.
Dec. 29. Another wood & stucco hawk with feather.
Large wood feather.
Set of smaller bl. gl. shabtis.
Piece of wood with 2 copper (?) rivets.
The tomb is now seen to consist of 3 vaults under one top. The one now worked is the central. 
Cous tooth.
Flat red tile (or part of coffin)
Jan. 1.
In the central vault there is one coffin in position at the S. W. corner. Fine carved coffin of good wood partly inscribed (see next card). Body mummified with bitumen.","","","","","","Nadia Randle; Janet Levy; Susan Magyarody",730,"https://www.flickr.com/photos/25459876@N04/22644542508"
